Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,1997,1,1996-12-30,1997-01-05,,2744,0,,247,,544,791,,,40,40,831,,No Report
United States of America,Region of the Americas of WHO,North America,1997,2,1997-01-06,1997-01-12,,1921,0,,215,,224,439,,,18,18,457,,No Report
United States of America,Region of the Americas of WHO,North America,1997,3,1997-01-13,1997-01-19,,1519,0,,193,,101,294,,,34,34,328,,No Report
United States of America,Region of the Americas of WHO,North America,1997,4,1997-01-20,1997-01-26,,1284,0,,118,,60,178,,,44,44,222,,No Report
United States of America,Region of the Americas of WHO,North America,1997,5,1997-01-27,1997-02-02,,1347,0,,77,,59,136,,,82,82,218,,No Report
United States of America,Region of the Americas of WHO,North America,1997,6,1997-02-03,1997-02-09,,1408,0,,74,,33,107,,,67,67,174,,No Report
United States of America,Region of the Americas of WHO,North America,1997,7,1997-02-10,1997-02-16,,941,0,,9,,12,21,,,97,97,118,,No Report
United States of America,Region of the Americas of WHO,North America,1997,8,1997-02-17,1997-02-23,,1480,0,,17,,17,34,,,148,148,182,,No Report
United States of America,Region of the Americas of WHO,North America,1997,9,1997-02-24,1997-03-02,,1458,0,,19,,8,27,,,154,154,181,,No Report
United States of America,Region of the Americas of WHO,North America,1997,10,1997-03-03,1997-03-09,,1345,0,,11,,7,18,,,126,126,144,,No Report
United States of America,Region of the Americas of WHO,North America,1997,11,1997-03-10,1997-03-16,,1123,0,,16,,4,20,,,133,133,153,,No Report
United States of America,Region of the Americas of WHO,North America,1997,12,1997-03-17,1997-03-23,,892,0,,4,,1,5,,,114,114,119,,No Report
United States of America,Region of the Americas of WHO,North America,1997,13,1997-03-24,1997-03-30,,674,0,,0,,3,3,,,50,50,53,,No Report
United States of America,Region of the Americas of WHO,North America,1997,36,1997-09-01,1997-09-07,,,,,1,,,1,,,0,0,1,,No Report
United States of America,Region of the Americas of WHO,North America,1997,38,1997-09-15,1997-09-21,,,,,,,12,12,,,0,0,12,,No Report
United States of America,Region of the Americas of WHO,North America,1997,40,1997-09-29,1997-10-05,,,,,,,1,1,,,0,0,1,,No Activity
United States of America,Region of the Americas of WHO,North America,1997,41,1997-10-06,1997-10-12,,,,,,,1,1,,,0,0,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,42,1997-10-13,1997-10-19,,,,,,,,0,,,0,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,43,1997-10-20,1997-10-26,,,,,,,,0,,,0,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,1997,44,1997-10-27,1997-11-02,,,,,,,,0,,,0,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,1997,45,1997-11-03,1997-11-09,,,,,,,1,1,,,0,0,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,46,1997-11-10,1997-11-16,,,,,,,,0,,,0,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,48,1997-11-24,1997-11-30,,,,,,,,0,,,0,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1997,49,1997-12-01,1997-12-07,,,,,,,,0,,,0,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,50,1997-12-08,1997-12-14,,,,,,,,0,,,0,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,1,1997-12-29,1998-01-04,,,,,,,,0,,,0,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,2,1998-01-05,1998-01-11,,,,,,,,0,,,0,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,3,1998-01-12,1998-01-18,,,,,,,,0,,,0,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,5,1998-01-26,1998-02-01,,,,,,,,0,,,0,0,0,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1998,9,1998-02-23,1998-03-01,,3141,0,,83,,410,493,,,3,3,496,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,10,1998-03-02,1998-03-08,,2638,0,,52,,231,283,,,4,4,287,,Sporadic
