Year,Week,Searches
2014,50,63
2014,51,71
2014,52,73
2015,1,62
2015,2,57
2015,3,57
2015,4,58
2015,5,55
2015,6,54
2015,7,53
2015,8,50
2015,9,47
2015,10,49
2015,11,48
2015,12,47
2015,13,46
2015,14,46
2015,15,44
2015,16,42
2015,17,41
2015,18,41
2015,19,40
2015,20,38
2015,21,38
2015,22,36
2015,23,36
2015,24,35
2015,25,33
2015,26,33
2015,27,31
2015,28,31
2015,29,30
2015,30,31
2015,31,29
2015,32,30
2015,33,31
2015,34,33
2015,35,35
2015,36,36
2015,37,38
2015,38,41
2015,39,41
2015,40,44
2015,41,46
2015,42,49
2015,43,47
2015,44,50
2015,45,52
2015,46,56
2015,47,55
2015,48,53
2015,49,55
2015,50,58
2015,51,63
2015,52,67
2016,1,64
2016,2,60
2016,3,59
2016,4,59
2016,5,60
2016,6,61
2016,7,64
2016,8,64
2016,9,61
2016,10,61
2016,11,57
2016,12,54
2016,13,51
2016,14,51
2016,15,47
2016,16,47
2016,17,44
2016,18,42
2016,19,42
2016,20,42
2016,21,41
2016,22,40
2016,23,38
2016,24,35
2016,25,35
2016,26,34
2016,27,33
2016,28,31
2016,29,32
2016,30,31
2016,31,31
2016,32,31
2016,33,31
2016,34,34
2016,35,38
2016,36,46
2016,37,44
2016,38,43
2016,39,46
2016,40,45
2016,41,46
2016,42,47
2016,43,48
2016,44,48
2016,45,50
2016,46,57
2016,47,56
2016,48,58
2016,49,58
2016,50,60
2016,51,70
2016,52,75
2017,1,76
2017,2,68
2017,3,66
2017,4,64
2017,5,67
2017,6,70
2017,7,69
2017,8,68
2017,9,59
2017,10,60
2017,11,58
2017,12,58
2017,13,57
2017,14,54
2017,15,52
2017,16,50
2017,17,47
2017,18,47
2017,19,46
2017,20,47
2017,21,45
2017,22,44
2017,23,43
2017,24,40
2017,25,38
2017,26,38
2017,27,36
2017,28,36
2017,29,36
2017,30,35
2017,31,35
2017,32,35
2017,33,35
2017,34,36
2017,35,39
2017,36,43
2017,37,44
2017,38,47
2017,39,48
2017,40,47
2017,41,48
2017,42,52
2017,43,52
2017,44,57
2017,45,60
2017,46,66
2017,47,68
2017,48,70
2017,49,66
2017,50,71
2017,51,85
2017,52,100
2017,53,97
2018,1,86
2018,2,81
2018,3,82
2018,4,82
2018,5,81
2018,6,76
2018,7,69
2018,8,63
2018,9,61
2018,10,59
2018,11,58
2018,12,59
2018,13,55
2018,14,51
2018,15,50
2018,16,50
2018,17,48
2018,18,49
2018,19,47
2018,20,47
2018,21,47
2018,22,44
2018,23,43
2018,24,41
2018,25,40
2018,26,38
2018,27,38
2018,28,37
2018,29,35
2018,30,35
2018,31,36
2018,32,37
2018,33,39
2018,34,42
2018,35,45
2018,36,46
2018,37,49
2018,38,59
2018,39,52
2018,40,52
2018,41,55
2018,42,55
2018,43,59
2018,44,61
2018,45,65
2018,46,68
2018,47,70
2018,48,72
2018,49,73
2018,50,79
2018,51,91
2018,52,90
2019,1,78
2019,2,73
2019,3,73
2019,4,75
2019,5,75
2019,6,73
2019,7,76
2019,8,73
2019,9,73
2019,10,71
2019,11,71
2019,12,67
2019,13,64
2019,14,59
2019,15,57
2019,16,57
2019,17,56
2019,18,55
2019,19,55
2019,20,54
2019,21,53
2019,22,48
2019,23,46
2019,24,46
2019,25,44
2019,26,40
2019,27,40
2019,28,39
2019,29,38
2019,30,37
2019,31,37
2019,32,38
2019,33,40
2019,34,42
2019,35,45
2019,36,48
2019,37,51
2019,38,52
2019,39,55
2019,40,56
2019,41,58
2019,42,61
2019,43,63
2019,44,71
2019,45,73
2019,46,77
2019,47,78
2019,48,75
2019,49,81
