Week,fever: (United States)
12/14/2014,66
12/21/2014,71
12/28/2014,66
1/4/2015,62
1/11/2015,61
1/18/2015,64
1/25/2015,62
2/1/2015,66
2/8/2015,60
2/15/2015,59
2/22/2015,65
3/1/2015,61
3/8/2015,70
3/15/2015,71
3/22/2015,64
3/29/2015,63
4/5/2015,62
4/12/2015,58
4/19/2015,57
4/26/2015,56
5/3/2015,57
5/10/2015,55
5/17/2015,53
5/24/2015,60
5/31/2015,53
6/7/2015,54
6/14/2015,51
6/21/2015,51
6/28/2015,51
7/5/2015,51
7/12/2015,49
7/19/2015,51
7/26/2015,49
8/2/2015,53
8/9/2015,51
8/16/2015,52
8/23/2015,49
8/30/2015,51
9/6/2015,53
9/13/2015,53
9/20/2015,52
9/27/2015,52
10/4/2015,56
10/11/2015,55
10/18/2015,54
10/25/2015,54
11/1/2015,57
11/8/2015,55
11/15/2015,55
11/22/2015,55
11/29/2015,56
12/6/2015,59
12/13/2015,67
12/20/2015,60
12/27/2015,61
1/3/2016,60
1/10/2016,58
1/17/2016,60
1/24/2016,63
1/31/2016,65
2/7/2016,69
2/14/2016,73
2/21/2016,72
2/28/2016,74
3/6/2016,76
3/13/2016,71
3/20/2016,66
3/27/2016,65
4/3/2016,61
4/10/2016,61
4/17/2016,60
4/24/2016,56
5/1/2016,55
5/8/2016,58
5/15/2016,57
5/22/2016,56
5/29/2016,56
6/5/2016,55
6/12/2016,53
6/19/2016,52
6/26/2016,50
7/3/2016,51
7/10/2016,51
7/17/2016,52
7/24/2016,50
7/31/2016,50
8/7/2016,47
8/14/2016,47
8/21/2016,51
8/28/2016,51
9/4/2016,54
9/11/2016,53
9/18/2016,55
9/25/2016,53
10/2/2016,50
10/9/2016,52
10/16/2016,53
10/23/2016,52
10/30/2016,53
11/6/2016,48
11/13/2016,54
11/20/2016,50
11/27/2016,54
12/4/2016,52
12/11/2016,57
12/18/2016,61
12/25/2016,64
1/1/2017,65
1/8/2017,65
1/15/2017,66
1/22/2017,66
1/29/2017,82
2/5/2017,77
2/12/2017,76
2/19/2017,76
2/26/2017,65
3/5/2017,65
3/12/2017,67
3/19/2017,75
3/26/2017,69
4/2/2017,64
4/9/2017,63
4/16/2017,64
4/23/2017,59
4/30/2017,59
5/7/2017,60
5/14/2017,57
5/21/2017,57
5/28/2017,57
6/4/2017,57
6/11/2017,57
6/18/2017,54
6/25/2017,55
7/2/2017,53
7/9/2017,52
7/16/2017,53
7/23/2017,51
7/30/2017,50
8/6/2017,50
8/13/2017,50
8/20/2017,50
8/27/2017,64
9/3/2017,62
9/10/2017,56
9/17/2017,54
9/24/2017,55
10/1/2017,53
10/8/2017,55
10/15/2017,58
10/22/2017,59
10/29/2017,56
11/5/2017,57
11/12/2017,62
11/19/2017,61
11/26/2017,63
12/3/2017,61
12/10/2017,69
12/17/2017,80
12/24/2017,86
12/31/2017,85
1/7/2018,86
1/14/2018,85
1/21/2018,91
1/28/2018,97
2/4/2018,100
2/11/2018,91
2/18/2018,80
2/25/2018,70
3/4/2018,70
3/11/2018,65
3/18/2018,68
3/25/2018,65
4/1/2018,63
4/8/2018,62
4/15/2018,60
4/22/2018,62
4/29/2018,62
5/6/2018,61
5/13/2018,64
5/20/2018,62
5/27/2018,61
6/3/2018,58
6/10/2018,59
6/17/2018,58
6/24/2018,59
7/1/2018,56
7/8/2018,56
7/15/2018,55
7/22/2018,53
7/29/2018,53
8/5/2018,54
8/12/2018,53
8/19/2018,54
8/26/2018,55
9/2/2018,54
9/9/2018,54
9/16/2018,58
9/23/2018,56
9/30/2018,57
10/7/2018,58
10/14/2018,58
10/21/2018,58
10/28/2018,58
11/4/2018,57
11/11/2018,60
11/18/2018,57
11/25/2018,60
12/2/2018,60
12/9/2018,64
12/16/2018,70
12/23/2018,77
12/30/2018,71
1/6/2019,68
1/13/2019,69
1/20/2019,73
1/27/2019,77
2/3/2019,79
2/10/2019,81
2/17/2019,79
2/24/2019,77
3/3/2019,76
3/10/2019,77
3/17/2019,75
3/24/2019,70
3/31/2019,67
4/7/2019,66
4/14/2019,62
4/21/2019,63
4/28/2019,60
5/5/2019,60
5/12/2019,61
5/19/2019,61
5/26/2019,60
6/2/2019,61
6/9/2019,57
6/16/2019,57
6/23/2019,56
6/30/2019,53
7/7/2019,53
7/14/2019,54
7/21/2019,53
7/28/2019,52
8/4/2019,51
8/11/2019,51
8/18/2019,53
8/25/2019,53
9/1/2019,53
9/8/2019,54
9/15/2019,57
9/22/2019,57
9/29/2019,58
10/6/2019,57
10/13/2019,60
10/20/2019,59
10/27/2019,57
11/3/2019,63
11/10/2019,65
11/17/2019,67
11/24/2019,63
12/1/2019,65
12/8/2019,66
