Category: All categories

Week,flu season: (United States)
2014-12-14,9
2014-12-21,10
2014-12-28,15
2015-01-04,19
2015-01-11,15
2015-01-18,11
2015-01-25,9
2015-02-01,8
2015-02-08,6
2015-02-15,5
2015-02-22,6
2015-03-01,6
2015-03-08,6
2015-03-15,6
2015-03-22,5
2015-03-29,5
2015-04-05,5
2015-04-12,5
2015-04-19,4
2015-04-26,3
2015-05-03,3
2015-05-10,3
2015-05-17,3
2015-05-24,2
2015-05-31,3
2015-06-07,2
2015-06-14,2
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,2
2015-07-19,2
2015-07-26,2
2015-08-02,3
2015-08-09,4
2015-08-16,4
2015-08-23,5
2015-08-30,5
2015-09-06,7
2015-09-13,10
2015-09-20,10
2015-09-27,10
2015-10-04,11
2015-10-11,8
2015-10-18,8
2015-10-25,7
2015-11-01,7
2015-11-08,6
2015-11-15,6
2015-11-22,5
2015-11-29,5
2015-12-06,5
2015-12-13,5
2015-12-20,4
2015-12-27,4
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,5
2016-01-31,6
2016-02-07,6
2016-02-14,7
2016-02-21,7
2016-02-28,7
2016-03-06,8
2016-03-13,7
2016-03-20,7
2016-03-27,6
2016-04-03,6
2016-04-10,6
2016-04-17,6
2016-04-24,4
2016-05-01,4
2016-05-08,3
2016-05-15,4
2016-05-22,3
2016-05-29,3
2016-06-05,2
2016-06-12,2
2016-06-19,3
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,1
2016-07-24,1
2016-07-31,2
2016-08-07,3
2016-08-14,3
2016-08-21,4
2016-08-28,5
2016-09-04,7
2016-09-11,8
2016-09-18,9
2016-09-25,10
2016-10-02,8
2016-10-09,8
2016-10-16,7
2016-10-23,6
2016-10-30,6
2016-11-06,6
2016-11-13,6
2016-11-20,5
2016-11-27,5
2016-12-04,5
2016-12-11,5
2016-12-18,5
2016-12-25,6
2017-01-01,8
2017-01-08,8
2017-01-15,8
2017-01-22,8
2017-01-29,9
2017-02-05,12
2017-02-12,11
2017-02-19,9
2017-02-26,9
2017-03-05,7
2017-03-12,6
2017-03-19,6
2017-03-26,8
2017-04-02,6
2017-04-09,6
2017-04-16,6
2017-04-23,5
2017-04-30,5
2017-05-07,5
2017-05-14,4
2017-05-21,4
2017-05-28,4
2017-06-04,3
2017-06-11,3
2017-06-18,3
2017-06-25,2
2017-07-02,2
2017-07-09,2
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,4
2017-08-13,5
2017-08-20,6
2017-08-27,7
2017-09-03,9
2017-09-10,10
2017-09-17,11
2017-09-24,12
2017-10-01,11
2017-10-08,10
2017-10-15,9
2017-10-22,9
2017-10-29,9
2017-11-05,8
2017-11-12,7
2017-11-19,5
2017-11-26,8
2017-12-03,14
2017-12-10,10
2017-12-17,11
2017-12-24,16
2017-12-31,24
2018-01-07,51
2018-01-14,70
2018-01-21,91
2018-01-28,100
2018-02-04,81
2018-02-11,66
2018-02-18,40
2018-02-25,27
2018-03-04,19
2018-03-11,16
2018-03-18,15
2018-03-25,16
2018-04-01,11
2018-04-08,9
2018-04-15,8
2018-04-22,8
2018-04-29,7
2018-05-06,6
2018-05-13,6
2018-05-20,5
2018-05-27,4
2018-06-03,5
2018-06-10,3
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,4
2018-07-29,4
2018-08-05,5
2018-08-12,7
2018-08-19,9
2018-08-26,10
2018-09-02,14
2018-09-09,16
2018-09-16,17
2018-09-23,21
2018-09-30,19
2018-10-07,18
2018-10-14,18
2018-10-21,15
2018-10-28,14
2018-11-04,12
2018-11-11,10
2018-11-18,8
2018-11-25,10
2018-12-02,11
2018-12-09,10
2018-12-16,10
2018-12-23,11
2018-12-30,16
2019-01-06,20
2019-01-13,14
2019-01-20,15
2019-01-27,15
2019-02-03,17
2019-02-10,17
2019-02-17,17
2019-02-24,17
2019-03-03,17
2019-03-10,14
2019-03-17,14
2019-03-24,13
2019-03-31,12
2019-04-07,11
2019-04-14,9
2019-04-21,8
2019-04-28,7
2019-05-05,6
2019-05-12,6
2019-05-19,5
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,3
2019-06-30,3
2019-07-07,4
2019-07-14,3
2019-07-21,5
2019-07-28,4
2019-08-04,5
2019-08-11,6
2019-08-18,9
2019-08-25,11
2019-09-01,13
2019-09-08,16
2019-09-15,18
2019-09-22,20
2019-09-29,19
2019-10-06,21
2019-10-13,17
2019-10-20,15
2019-10-27,14
2019-11-03,12
2019-11-10,12
2019-11-17,12
2019-11-24,9
2019-12-01,14
2019-12-08,13
