Category: All categories

Week,flu vs cold: (United States)
2014-12-14,20
2014-12-21,27
2014-12-28,28
2015-01-04,28
2015-01-11,21
2015-01-18,18
2015-01-25,17
2015-02-01,18
2015-02-08,13
2015-02-15,14
2015-02-22,12
2015-03-01,8
2015-03-08,9
2015-03-15,8
2015-03-22,8
2015-03-29,6
2015-04-05,5
2015-04-12,6
2015-04-19,4
2015-04-26,4
2015-05-03,5
2015-05-10,4
2015-05-17,3
2015-05-24,4
2015-05-31,2
2015-06-07,3
2015-06-14,4
2015-06-21,1
2015-06-28,3
2015-07-05,2
2015-07-12,2
2015-07-19,1
2015-07-26,3
2015-08-02,2
2015-08-09,2
2015-08-16,1
2015-08-23,4
2015-08-30,4
2015-09-06,5
2015-09-13,5
2015-09-20,6
2015-09-27,6
2015-10-04,7
2015-10-11,8
2015-10-18,7
2015-10-25,8
2015-11-01,9
2015-11-08,8
2015-11-15,6
2015-11-22,8
2015-11-29,7
2015-12-06,11
2015-12-13,7
2015-12-20,10
2015-12-27,13
2016-01-03,11
2016-01-10,8
2016-01-17,9
2016-01-24,8
2016-01-31,9
2016-02-07,11
2016-02-14,12
2016-02-21,10
2016-02-28,10
2016-03-06,8
2016-03-13,9
2016-03-20,8
2016-03-27,8
2016-04-03,6
2016-04-10,5
2016-04-17,6
2016-04-24,5
2016-05-01,3
2016-05-08,4
2016-05-15,4
2016-05-22,4
2016-05-29,2
2016-06-05,2
2016-06-12,3
2016-06-19,3
2016-06-26,2
2016-07-03,2
2016-07-10,1
2016-07-17,2
2016-07-24,2
2016-07-31,1
2016-08-07,2
2016-08-14,2
2016-08-21,3
2016-08-28,4
2016-09-04,5
2016-09-11,7
2016-09-18,6
2016-09-25,5
2016-10-02,7
2016-10-09,9
2016-10-16,7
2016-10-23,8
2016-10-30,7
2016-11-06,9
2016-11-13,9
2016-11-20,7
2016-11-27,9
2016-12-04,9
2016-12-11,12
2016-12-18,11
2016-12-25,21
2017-01-01,22
2017-01-08,16
2017-01-15,14
2017-01-22,18
2017-01-29,22
2017-02-05,23
2017-02-12,23
2017-02-19,17
2017-02-26,11
2017-03-05,11
2017-03-12,11
2017-03-19,9
2017-03-26,8
2017-04-02,8
2017-04-09,6
2017-04-16,6
2017-04-23,5
2017-04-30,5
2017-05-07,4
2017-05-14,5
2017-05-21,5
2017-05-28,5
2017-06-04,3
2017-06-11,3
2017-06-18,2
2017-06-25,3
2017-07-02,3
2017-07-09,2
2017-07-16,3
2017-07-23,2
2017-07-30,3
2017-08-06,3
2017-08-13,4
2017-08-20,4
2017-08-27,4
2017-09-03,5
2017-09-10,5
2017-09-17,6
2017-09-24,10
2017-10-01,9
2017-10-08,9
2017-10-15,8
2017-10-22,8
2017-10-29,11
2017-11-05,11
2017-11-12,12
2017-11-19,11
2017-11-26,13
2017-12-03,15
2017-12-10,18
2017-12-17,28
2017-12-24,41
2017-12-31,44
2018-01-07,49
2018-01-14,58
2018-01-21,75
2018-01-28,100
2018-02-04,95
2018-02-11,74
2018-02-18,45
2018-02-25,29
2018-03-04,22
2018-03-11,18
2018-03-18,16
2018-03-25,13
2018-04-01,12
2018-04-08,7
2018-04-15,8
2018-04-22,8
2018-04-29,6
2018-05-06,4
2018-05-13,5
2018-05-20,5
2018-05-27,5
2018-06-03,4
2018-06-10,4
2018-06-17,3
2018-06-24,3
2018-07-01,2
2018-07-08,2
2018-07-15,3
2018-07-22,3
2018-07-29,2
2018-08-05,3
2018-08-12,3
2018-08-19,4
2018-08-26,4
2018-09-02,6
2018-09-09,8
2018-09-16,9
2018-09-23,9
2018-09-30,11
2018-10-07,11
2018-10-14,14
2018-10-21,13
2018-10-28,15
2018-11-04,14
2018-11-11,13
2018-11-18,15
2018-11-25,18
2018-12-02,14
2018-12-09,18
2018-12-16,22
2018-12-23,25
2018-12-30,29
2019-01-06,24
2019-01-13,19
2019-01-20,20
2019-01-27,26
2019-02-03,27
2019-02-10,26
2019-02-17,23
2019-02-24,22
2019-03-03,23
2019-03-10,19
2019-03-17,18
2019-03-24,14
2019-03-31,13
2019-04-07,10
2019-04-14,10
2019-04-21,8
2019-04-28,8
2019-05-05,6
2019-05-12,6
2019-05-19,5
2019-05-26,5
2019-06-02,5
2019-06-09,4
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,2
2019-07-14,3
2019-07-21,2
2019-07-28,3
2019-08-04,4
2019-08-11,3
2019-08-18,4
2019-08-25,5
2019-09-01,7
2019-09-08,8
2019-09-15,9
2019-09-22,13
2019-09-29,14
2019-10-06,14
2019-10-13,14
2019-10-20,14
2019-10-27,15
2019-11-03,16
2019-11-10,15
2019-11-17,21
2019-11-24,18
2019-12-01,21
2019-12-08,28
