Category: All categories

Week,cold flu: (United States)
2014-12-14,34
2014-12-21,45
2014-12-28,46
2015-01-04,47
2015-01-11,33
2015-01-18,32
2015-01-25,30
2015-02-01,27
2015-02-08,22
2015-02-15,21
2015-02-22,20
2015-03-01,20
2015-03-08,17
2015-03-15,17
2015-03-22,14
2015-03-29,16
2015-04-05,12
2015-04-12,11
2015-04-19,10
2015-04-26,10
2015-05-03,8
2015-05-10,8
2015-05-17,8
2015-05-24,7
2015-05-31,6
2015-06-07,8
2015-06-14,5
2015-06-21,6
2015-06-28,6
2015-07-05,5
2015-07-12,5
2015-07-19,4
2015-07-26,4
2015-08-02,6
2015-08-09,6
2015-08-16,6
2015-08-23,7
2015-08-30,10
2015-09-06,11
2015-09-13,13
2015-09-20,13
2015-09-27,16
2015-10-04,20
2015-10-11,21
2015-10-18,19
2015-10-25,18
2015-11-01,20
2015-11-08,19
2015-11-15,18
2015-11-22,18
2015-11-29,20
2015-12-06,20
2015-12-13,20
2015-12-20,20
2015-12-27,22
2016-01-03,26
2016-01-10,18
2016-01-17,20
2016-01-24,20
2016-01-31,19
2016-02-07,21
2016-02-14,24
2016-02-21,23
2016-02-28,21
2016-03-06,21
2016-03-13,18
2016-03-20,17
2016-03-27,17
2016-04-03,15
2016-04-10,12
2016-04-17,12
2016-04-24,12
2016-05-01,10
2016-05-08,11
2016-05-15,10
2016-05-22,8
2016-05-29,8
2016-06-05,8
2016-06-12,7
2016-06-19,6
2016-06-26,6
2016-07-03,6
2016-07-10,5
2016-07-17,6
2016-07-24,5
2016-07-31,4
2016-08-07,6
2016-08-14,6
2016-08-21,7
2016-08-28,9
2016-09-04,13
2016-09-11,15
2016-09-18,15
2016-09-25,19
2016-10-02,18
2016-10-09,21
2016-10-16,20
2016-10-23,18
2016-10-30,19
2016-11-06,19
2016-11-13,20
2016-11-20,17
2016-11-27,24
2016-12-04,21
2016-12-11,22
2016-12-18,27
2016-12-25,35
2017-01-01,38
2017-01-08,31
2017-01-15,28
2017-01-22,31
2017-01-29,35
2017-02-05,38
2017-02-12,35
2017-02-19,31
2017-02-26,24
2017-03-05,23
2017-03-12,22
2017-03-19,20
2017-03-26,19
2017-04-02,16
2017-04-09,14
2017-04-16,14
2017-04-23,12
2017-04-30,10
2017-05-07,12
2017-05-14,11
2017-05-21,12
2017-05-28,10
2017-06-04,9
2017-06-11,7
2017-06-18,7
2017-06-25,7
2017-07-02,6
2017-07-09,8
2017-07-16,7
2017-07-23,7
2017-07-30,7
2017-08-06,7
2017-08-13,7
2017-08-20,9
2017-08-27,12
2017-09-03,15
2017-09-10,17
2017-09-17,20
2017-09-24,21
2017-10-01,21
2017-10-08,20
2017-10-15,22
2017-10-22,22
2017-10-29,24
2017-11-05,24
2017-11-12,27
2017-11-19,25
2017-11-26,29
2017-12-03,29
2017-12-10,35
2017-12-17,47
2017-12-24,63
2017-12-31,71
2018-01-07,73
2018-01-14,78
2018-01-21,84
2018-01-28,100
2018-02-04,86
2018-02-11,72
2018-02-18,50
2018-02-25,37
2018-03-04,28
2018-03-11,26
2018-03-18,23
2018-03-25,22
2018-04-01,20
2018-04-08,15
2018-04-15,16
2018-04-22,16
2018-04-29,12
2018-05-06,11
2018-05-13,11
2018-05-20,11
2018-05-27,11
2018-06-03,9
2018-06-10,9
2018-06-17,8
2018-06-24,7
2018-07-01,6
2018-07-08,7
2018-07-15,7
2018-07-22,7
2018-07-29,7
2018-08-05,8
2018-08-12,9
2018-08-19,10
2018-08-26,14
2018-09-02,17
2018-09-09,19
2018-09-16,20
2018-09-23,23
2018-09-30,25
2018-10-07,26
2018-10-14,32
2018-10-21,29
2018-10-28,28
2018-11-04,25
2018-11-11,29
2018-11-18,28
2018-11-25,33
2018-12-02,30
2018-12-09,34
2018-12-16,38
2018-12-23,47
2018-12-30,46
2019-01-06,41
2019-01-13,39
2019-01-20,38
2019-01-27,40
2019-02-03,41
2019-02-10,43
2019-02-17,42
2019-02-24,38
2019-03-03,38
2019-03-10,33
2019-03-17,31
2019-03-24,28
2019-03-31,22
2019-04-07,18
2019-04-14,16
2019-04-21,17
2019-04-28,16
2019-05-05,14
2019-05-12,15
2019-05-19,12
2019-05-26,14
2019-06-02,11
2019-06-09,10
2019-06-16,10
2019-06-23,9
2019-06-30,8
2019-07-07,9
2019-07-14,8
2019-07-21,8
2019-07-28,7
2019-08-04,8
2019-08-11,9
2019-08-18,12
2019-08-25,13
2019-09-01,15
2019-09-08,20
2019-09-15,22
2019-09-22,25
2019-09-29,28
2019-10-06,32
2019-10-13,33
2019-10-20,30
2019-10-27,30
2019-11-03,32
2019-11-10,33
2019-11-17,35
2019-11-24,33
2019-12-01,40
2019-12-08,36
