Category: All categories

Week,cold: (United States)
2014-12-14,41
2014-12-21,42
2014-12-28,50
2015-01-04,64
2015-01-11,45
2015-01-18,41
2015-01-25,42
2015-02-01,41
2015-02-08,41
2015-02-15,54
2015-02-22,44
2015-03-01,39
2015-03-08,36
2015-03-15,35
2015-03-22,36
2015-03-29,36
2015-04-05,35
2015-04-12,36
2015-04-19,35
2015-04-26,36
2015-05-03,37
2015-05-10,36
2015-05-17,35
2015-05-24,34
2015-05-31,33
2015-06-07,32
2015-06-14,30
2015-06-21,30
2015-06-28,32
2015-07-05,30
2015-07-12,31
2015-07-19,32
2015-07-26,31
2015-08-02,31
2015-08-09,31
2015-08-16,31
2015-08-23,32
2015-08-30,32
2015-09-06,34
2015-09-13,33
2015-09-20,34
2015-09-27,35
2015-10-04,36
2015-10-11,37
2015-10-18,39
2015-10-25,36
2015-11-01,37
2015-11-08,39
2015-11-15,41
2015-11-22,45
2015-11-29,43
2015-12-06,41
2015-12-13,43
2015-12-20,43
2015-12-27,50
2016-01-03,52
2016-01-10,48
2016-01-17,52
2016-01-24,44
2016-01-31,42
2016-02-07,50
2016-02-14,45
2016-02-21,42
2016-02-28,40
2016-03-06,39
2016-03-13,39
2016-03-20,40
2016-03-27,38
2016-04-03,42
2016-04-10,39
2016-04-17,39
2016-04-24,38
2016-05-01,38
2016-05-08,38
2016-05-15,38
2016-05-22,37
2016-05-29,38
2016-06-05,35
2016-06-12,34
2016-06-19,34
2016-06-26,33
2016-07-03,33
2016-07-10,33
2016-07-17,36
2016-07-24,36
2016-07-31,35
2016-08-07,33
2016-08-14,34
2016-08-21,35
2016-08-28,37
2016-09-04,38
2016-09-11,38
2016-09-18,37
2016-09-25,40
2016-10-02,37
2016-10-09,41
2016-10-16,38
2016-10-23,40
2016-10-30,37
2016-11-06,37
2016-11-13,45
2016-11-20,48
2016-11-27,48
2016-12-04,59
2016-12-11,62
2016-12-18,63
2016-12-25,50
2017-01-01,58
2017-01-08,54
2017-01-15,44
2017-01-22,45
2017-01-29,47
2017-02-05,46
2017-02-12,45
2017-02-19,44
2017-02-26,43
2017-03-05,45
2017-03-12,46
2017-03-19,43
2017-03-26,41
2017-04-02,41
2017-04-09,41
2017-04-16,40
2017-04-23,41
2017-04-30,40
2017-05-07,42
2017-05-14,43
2017-05-21,40
2017-05-28,40
2017-06-04,38
2017-06-11,38
2017-06-18,36
2017-06-25,36
2017-07-02,36
2017-07-09,35
2017-07-16,38
2017-07-23,36
2017-07-30,36
2017-08-06,34
2017-08-13,34
2017-08-20,34
2017-08-27,35
2017-09-03,38
2017-09-10,37
2017-09-17,38
2017-09-24,39
2017-10-01,38
2017-10-08,38
2017-10-15,40
2017-10-22,44
2017-10-29,44
2017-11-05,50
2017-11-12,48
2017-11-19,48
2017-11-26,48
2017-12-03,55
2017-12-10,61
2017-12-17,56
2017-12-24,79
2017-12-31,100
2018-01-07,61
2018-01-14,61
2018-01-21,50
2018-01-28,51
2018-02-04,51
2018-02-11,48
2018-02-18,46
2018-02-25,43
2018-03-04,45
2018-03-11,43
2018-03-18,44
2018-03-25,42
2018-04-01,43
2018-04-08,43
2018-04-15,43
2018-04-22,42
2018-04-29,43
2018-05-06,43
2018-05-13,39
2018-05-20,41
2018-05-27,39
2018-06-03,38
2018-06-10,38
2018-06-17,36
2018-06-24,37
2018-07-01,39
2018-07-08,38
2018-07-15,37
2018-07-22,36
2018-07-29,36
2018-08-05,36
2018-08-12,37
2018-08-19,36
2018-08-26,38
2018-09-02,39
2018-09-09,39
2018-09-16,40
2018-09-23,41
2018-09-30,41
2018-10-07,43
2018-10-14,49
2018-10-21,46
2018-10-28,42
2018-11-04,47
2018-11-11,59
2018-11-18,52
2018-11-25,58
2018-12-02,80
2018-12-09,76
2018-12-16,60
2018-12-23,60
2018-12-30,58
2019-01-06,55
2019-01-13,54
2019-01-20,67
2019-01-27,94
2019-02-03,62
2019-02-10,64
2019-02-17,62
2019-02-24,55
2019-03-03,56
2019-03-10,47
2019-03-17,47
2019-03-24,46
2019-03-31,45
2019-04-07,43
2019-04-14,43
2019-04-21,43
2019-04-28,44
2019-05-05,43
2019-05-12,45
2019-05-19,45
2019-05-26,42
2019-06-02,40
2019-06-09,39
2019-06-16,37
2019-06-23,37
2019-06-30,38
2019-07-07,38
2019-07-14,38
2019-07-21,39
2019-07-28,37
2019-08-04,36
2019-08-11,38
2019-08-18,37
2019-08-25,39
2019-09-01,40
2019-09-08,40
2019-09-15,42
2019-09-22,42
2019-09-29,44
2019-10-06,47
2019-10-13,46
2019-10-20,45
2019-10-27,52
2019-11-03,56
2019-11-10,63
2019-11-17,52
2019-11-24,52
2019-12-01,54
2019-12-08,57
