Year,Week,Searches
2014,50,34
2014,51,45
2014,52,46
2015,1,47
2015,2,33
2015,3,32
2015,4,30
2015,5,27
2015,6,22
2015,7,21
2015,8,20
2015,9,20
2015,10,17
2015,11,17
2015,12,14
2015,13,16
2015,14,12
2015,15,11
2015,16,10
2015,17,10
2015,18,8
2015,19,8
2015,20,8
2015,21,7
2015,22,6
2015,23,8
2015,24,5
2015,25,6
2015,26,6
2015,27,5
2015,28,5
2015,29,4
2015,30,4
2015,31,6
2015,32,6
2015,33,6
2015,34,7
2015,35,10
2015,36,11
2015,37,13
2015,38,13
2015,39,16
2015,40,20
2015,41,21
2015,42,19
2015,43,18
2015,44,20
2015,45,19
2015,46,18
2015,47,18
2015,48,20
2015,49,20
2015,50,20
2015,51,20
2015,52,22
2016,1,26
2016,2,18
2016,3,20
2016,4,20
2016,5,19
2016,6,21
2016,7,24
2016,8,23
2016,9,21
2016,10,21
2016,11,18
2016,12,17
2016,13,17
2016,14,15
2016,15,12
2016,16,12
2016,17,12
2016,18,10
2016,19,11
2016,20,10
2016,21,8
2016,22,8
2016,23,8
2016,24,7
2016,25,6
2016,26,6
2016,27,6
2016,28,5
2016,29,6
2016,30,5
2016,31,4
2016,32,6
2016,33,6
2016,34,7
2016,35,9
2016,36,13
2016,37,15
2016,38,15
2016,39,19
2016,40,18
2016,41,21
2016,42,20
2016,43,18
2016,44,19
2016,45,19
2016,46,20
2016,47,17
2016,48,24
2016,49,21
2016,50,22
2016,51,27
2016,52,35
2017,1,38
2017,2,31
2017,3,28
2017,4,31
2017,5,35
2017,6,38
2017,7,35
2017,8,31
2017,9,24
2017,10,23
2017,11,22
2017,12,20
2017,13,19
2017,14,16
2017,15,14
2017,16,14
2017,17,12
2017,18,10
2017,19,12
2017,20,11
2017,21,12
2017,22,10
2017,23,9
2017,24,7
2017,25,7
2017,26,7
2017,27,6
2017,28,8
2017,29,7
2017,30,7
2017,31,7
2017,32,7
2017,33,7
2017,34,9
2017,35,12
2017,36,15
2017,37,17
2017,38,20
2017,39,21
2017,40,21
2017,41,20
2017,42,22
2017,43,22
2017,44,24
2017,45,24
2017,46,27
2017,47,25
2017,48,29
2017,49,29
2017,50,35
2017,51,47
2017,52,63
2017,53,71
2018,1,73
2018,2,78
2018,3,84
2018,4,100
2018,5,86
2018,6,72
2018,7,50
2018,8,37
2018,9,28
2018,10,26
2018,11,23
2018,12,22
2018,13,20
2018,14,15
2018,15,16
2018,16,16
2018,17,12
2018,18,11
2018,19,11
2018,20,11
2018,21,11
2018,22,9
2018,23,9
2018,24,8
2018,25,7
2018,26,6
2018,27,7
2018,28,7
2018,29,7
2018,30,7
2018,31,8
2018,32,9
2018,33,10
2018,34,14
2018,35,17
2018,36,19
2018,37,20
2018,38,23
2018,39,25
2018,40,26
2018,41,32
2018,42,29
2018,43,28
2018,44,25
2018,45,29
2018,46,28
2018,47,33
2018,48,30
2018,49,34
2018,50,38
2018,51,47
2018,52,46
2019,1,41
2019,2,39
2019,3,38
2019,4,40
2019,5,41
2019,6,43
2019,7,42
2019,8,38
2019,9,38
2019,10,33
2019,11,31
2019,12,28
2019,13,22
2019,14,18
2019,15,16
2019,16,17
2019,17,16
2019,18,14
2019,19,15
2019,20,12
2019,21,14
2019,22,11
2019,23,10
2019,24,10
2019,25,9
2019,26,8
2019,27,9
2019,28,8
2019,29,8
2019,30,7
2019,31,8
2019,32,9
2019,33,12
2019,34,13
2019,35,15
2019,36,20
2019,37,22
2019,38,25
2019,39,28
2019,40,32
2019,41,33
2019,42,30
2019,43,30
2019,44,32
2019,45,33
2019,46,35
2019,47,33
2019,48,40
2019,49,36
