Year,Week,Searches
2014,50,9
2014,51,10
2014,52,15
2015,1,19
2015,2,15
2015,3,11
2015,4,9
2015,5,8
2015,6,6
2015,7,5
2015,8,6
2015,9,6
2015,10,6
2015,11,6
2015,12,5
2015,13,5
2015,14,5
2015,15,5
2015,16,4
2015,17,3
2015,18,3
2015,19,3
2015,20,3
2015,21,2
2015,22,3
2015,23,2
2015,24,2
2015,25,2
2015,26,2
2015,27,2
2015,28,2
2015,29,2
2015,30,2
2015,31,3
2015,32,4
2015,33,4
2015,34,5
2015,35,5
2015,36,7
2015,37,10
2015,38,10
2015,39,10
2015,40,11
2015,41,8
2015,42,8
2015,43,7
2015,44,7
2015,45,6
2015,46,6
2015,47,5
2015,48,5
2015,49,5
2015,50,5
2015,51,4
2015,52,4
2016,1,6
2016,2,6
2016,3,6
2016,4,5
2016,5,6
2016,6,6
2016,7,7
2016,8,7
2016,9,7
2016,10,8
2016,11,7
2016,12,7
2016,13,6
2016,14,6
2016,15,6
2016,16,6
2016,17,4
2016,18,4
2016,19,3
2016,20,4
2016,21,3
2016,22,3
2016,23,2
2016,24,2
2016,25,3
2016,26,2
2016,27,2
2016,28,2
2016,29,1
2016,30,1
2016,31,2
2016,32,3
2016,33,3
2016,34,4
2016,35,5
2016,36,7
2016,37,8
2016,38,9
2016,39,10
2016,40,8
2016,41,8
2016,42,7
2016,43,6
2016,44,6
2016,45,6
2016,46,6
2016,47,5
2016,48,5
2016,49,5
2016,50,5
2016,51,5
2016,52,6
2017,1,8
2017,2,8
2017,3,8
2017,4,8
2017,5,9
2017,6,12
2017,7,11
2017,8,9
2017,9,9
2017,10,7
2017,11,6
2017,12,6
2017,13,8
2017,14,6
2017,15,6
2017,16,6
2017,17,5
2017,18,5
2017,19,5
2017,20,4
2017,21,4
2017,22,4
2017,23,3
2017,24,3
2017,25,3
2017,26,2
2017,27,2
2017,28,2
2017,29,3
2017,30,3
2017,31,3
2017,32,4
2017,33,5
2017,34,6
2017,35,7
2017,36,9
2017,37,10
2017,38,11
2017,39,12
2017,40,11
2017,41,10
2017,42,9
2017,43,9
2017,44,9
2017,45,8
2017,46,7
2017,47,5
2017,48,8
2017,49,14
2017,50,10
2017,51,11
2017,52,16
2017,53,24
2018,1,51
2018,2,70
2018,3,91
2018,4,100
2018,5,81
2018,6,66
2018,7,40
2018,8,27
2018,9,19
2018,10,16
2018,11,15
2018,12,16
2018,13,11
2018,14,9
2018,15,8
2018,16,8
2018,17,7
2018,18,6
2018,19,6
2018,20,5
2018,21,4
2018,22,5
2018,23,3
2018,24,3
2018,25,3
2018,26,3
2018,27,3
2018,28,3
2018,29,4
2018,30,4
2018,31,5
2018,32,7
2018,33,9
2018,34,10
2018,35,14
2018,36,16
2018,37,17
2018,38,21
2018,39,19
2018,40,18
2018,41,18
2018,42,15
2018,43,14
2018,44,12
2018,45,10
2018,46,8
2018,47,10
2018,48,11
2018,49,10
2018,50,10
2018,51,11
2018,52,16
2019,1,20
2019,2,14
2019,3,15
2019,4,15
2019,5,17
2019,6,17
2019,7,17
2019,8,17
2019,9,17
2019,10,14
2019,11,14
2019,12,13
2019,13,12
2019,14,11
2019,15,9
2019,16,8
2019,17,7
2019,18,6
2019,19,6
2019,20,5
2019,21,5
2019,22,4
2019,23,4
2019,24,4
2019,25,3
2019,26,3
2019,27,4
2019,28,3
2019,29,5
2019,30,4
2019,31,5
2019,32,6
2019,33,9
2019,34,11
2019,35,13
2019,36,16
2019,37,18
2019,38,20
2019,39,19
2019,40,21
2019,41,17
2019,42,15
2019,43,14
2019,44,12
2019,45,12
2019,46,12
2019,47,9
2019,48,14
2019,49,13
