Year,Week,Searches
2014,46,13
2014,47,11
2014,48,16
2014,49,18
2014,50,25
2014,51,29
2014,52,34
2015,1,29
2015,2,24
2015,3,22
2015,4,19
2015,5,16
2015,6,14
2015,7,14
2015,8,13
2015,9,12
2015,10,11
2015,11,10
2015,12,9
2015,13,8
2015,14,9
2015,15,9
2015,16,9
2015,17,7
2015,18,6
2015,19,6
2015,20,7
2015,21,6
2015,22,5
2015,23,5
2015,24,4
2015,25,4
2015,26,4
2015,27,4
2015,28,4
2015,29,4
2015,30,4
2015,31,4
2015,32,4
2015,33,4
2015,34,5
2015,35,6
2015,36,7
2015,37,10
2015,38,12
2015,39,15
2015,40,20
2015,41,18
2015,42,19
2015,43,16
2015,44,15
2015,45,13
2015,46,12
2015,47,10
2015,48,11
2015,49,10
2015,50,10
2015,51,11
2015,52,11
2016,1,11
2016,2,10
2016,3,10
2016,4,10
2016,5,10
2016,6,11
2016,7,14
2016,8,15
2016,9,16
2016,10,17
2016,11,14
2016,12,12
2016,13,12
2016,14,10
2016,15,9
2016,16,10
2016,17,8
2016,18,7
2016,19,7
2016,20,7
2016,21,10
2016,22,7
2016,23,5
2016,24,4
2016,25,4
2016,26,4
2016,27,4
2016,28,4
2016,29,4
2016,30,4
2016,31,4
2016,32,4
2016,33,5
2016,34,5
2016,35,6
2016,36,8
2016,37,11
2016,38,12
2016,39,15
2016,40,17
2016,41,17
2016,42,16
2016,43,15
2016,44,13
2016,45,11
2016,46,12
2016,47,10
2016,48,12
2016,49,11
2016,50,12
2016,51,14
2016,52,17
2017,1,18
2017,2,18
2017,3,18
2017,4,18
2017,5,21
2017,6,25
2017,7,24
2017,8,22
2017,9,16
2017,10,16
2017,11,14
2017,12,14
2017,13,13
2017,14,11
2017,15,9
2017,16,8
2017,17,7
2017,18,7
2017,19,6
2017,20,6
2017,21,5
2017,22,5
2017,23,5
2017,24,5
2017,25,4
2017,26,4
2017,27,4
2017,28,4
2017,29,4
2017,30,4
2017,31,4
2017,32,5
2017,33,5
2017,34,6
2017,35,7
2017,36,8
2017,37,11
2017,38,13
2017,39,16
2017,40,18
2017,41,18
2017,42,17
2017,43,17
2017,44,16
2017,45,16
2017,46,16
2017,47,13
2017,48,16
2017,49,19
2017,50,20
2017,51,29
2017,52,38
2017,53,43
2018,1,64
2018,2,80
2018,3,93
2018,4,100
2018,5,84
2018,6,71
2018,7,43
2018,8,28
2018,9,20
2018,10,17
2018,11,15
2018,12,15
2018,13,13
2018,14,11
2018,15,9
2018,16,9
2018,17,7
2018,18,7
2018,19,6
2018,20,6
2018,21,6
2018,22,5
2018,23,5
2018,24,5
2018,25,4
2018,26,4
2018,27,5
2018,28,4
2018,29,4
2018,30,4
2018,31,5
2018,32,5
2018,33,6
2018,34,7
2018,35,11
2018,36,13
2018,37,15
2018,38,19
2018,39,25
2018,40,25
2018,41,30
2018,42,26
2018,43,23
2018,44,19
2018,45,18
2018,46,15
2018,47,18
2018,48,16
2018,49,17
2018,50,19
2018,51,25
2018,52,27
2019,1,26
2019,2,22
2019,3,23
2019,4,26
2019,5,31
2019,6,30
2019,7,29
2019,8,26
2019,9,24
2019,10,24
2019,11,20
2019,12,17
2019,13,14
2019,14,12
2019,15,10
2019,16,9
2019,17,8
2019,18,7
2019,19,7
2019,20,6
2019,21,6
2019,22,6
2019,23,5
2019,24,5
2019,25,5
2019,26,4
2019,27,5
2019,28,4
2019,29,4
2019,30,4
2019,31,5
2019,32,5
2019,33,7
2019,34,7
2019,35,9
2019,36,12
2019,37,16
2019,38,20
2019,39,24
2019,40,29
2019,41,27
2019,42,25
2019,43,22
2019,44,22
2019,45,21
