Year,Week,Searches
2014,50,38
2014,51,44
2014,52,47
2015,1,43
2015,2,37
2015,3,31
2015,4,25
2015,5,26
2015,6,22
2015,7,20
2015,8,20
2015,9,22
2015,10,17
2015,11,17
2015,12,15
2015,13,14
2015,14,17
2015,15,16
2015,16,14
2015,17,10
2015,18,11
2015,19,10
2015,20,10
2015,21,7
2015,22,8
2015,23,8
2015,24,7
2015,25,7
2015,26,6
2015,27,7
2015,28,5
2015,29,6
2015,30,6
2015,31,6
2015,32,6
2015,33,5
2015,34,8
2015,35,9
2015,36,9
2015,37,12
2015,38,12
2015,39,14
2015,40,17
2015,41,16
2015,42,13
2015,43,15
2015,44,16
2015,45,13
2015,46,14
2015,47,12
2015,48,15
2015,49,15
2015,50,14
2015,51,17
2015,52,16
2016,1,17
2016,2,14
2016,3,16
2016,4,17
2016,5,20
2016,6,22
2016,7,31
2016,8,28
2016,9,26
2016,10,28
2016,11,22
2016,12,22
2016,13,20
2016,14,17
2016,15,16
2016,16,17
2016,17,13
2016,18,11
2016,19,12
2016,20,10
2016,21,9
2016,22,8
2016,23,7
2016,24,7
2016,25,5
2016,26,7
2016,27,7
2016,28,6
2016,29,6
2016,30,6
2016,31,6
2016,32,8
2016,33,6
2016,34,6
2016,35,8
2016,36,10
2016,37,11
2016,38,14
2016,39,13
2016,40,14
2016,41,13
2016,42,15
2016,43,16
2016,44,12
2016,45,12
2016,46,14
2016,47,13
2016,48,17
2016,49,14
2016,50,15
2016,51,22
2016,52,27
2017,1,26
2017,2,25
2017,3,26
2017,4,25
2017,5,29
2017,6,31
2017,7,32
2017,8,31
2017,9,23
2017,10,22
2017,11,20
2017,12,22
2017,13,19
2017,14,15
2017,15,15
2017,16,14
2017,17,13
2017,18,11
2017,19,11
2017,20,11
2017,21,10
2017,22,9
2017,23,7
2017,24,8
2017,25,7
2017,26,6
2017,27,7
2017,28,6
2017,29,5
2017,30,6
2017,31,7
2017,32,6
2017,33,6
2017,34,5
2017,35,8
2017,36,8
2017,37,10
2017,38,13
2017,39,13
2017,40,11
2017,41,14
2017,42,15
2017,43,16
2017,44,14
2017,45,16
2017,46,16
2017,47,14
2017,48,18
2017,49,20
2017,50,25
2017,51,34
2017,52,44
2017,53,47
2018,1,70
2018,2,81
2018,3,87
2018,4,100
2018,5,84
2018,6,70
2018,7,43
2018,8,28
2018,9,23
2018,10,18
2018,11,18
2018,12,19
2018,13,16
2018,14,14
2018,15,12
2018,16,14
2018,17,12
2018,18,10
2018,19,10
2018,20,9
2018,21,8
2018,22,7
2018,23,9
2018,24,8
2018,25,6
2018,26,6
2018,27,6
2018,28,6
2018,29,6
2018,30,6
2018,31,5
2018,32,6
2018,33,8
2018,34,8
2018,35,10
2018,36,14
2018,37,14
2018,38,15
2018,39,16
2018,40,18
2018,41,22
2018,42,21
2018,43,19
2018,44,17
2018,45,18
2018,46,16
2018,47,20
2018,48,17
2018,49,19
2018,50,25
2018,51,29
2018,52,29
2019,1,29
2019,2,27
2019,3,26
2019,4,30
2019,5,33
2019,6,32
2019,7,32
2019,8,31
2019,9,29
2019,10,27
2019,11,24
2019,12,21
2019,13,18
2019,14,15
2019,15,14
2019,16,13
2019,17,12
2019,18,11
2019,19,12
2019,20,8
2019,21,8
2019,22,7
2019,23,7
2019,24,8
2019,25,6
2019,26,7
2019,27,6
2019,28,6
2019,29,8
2019,30,5
2019,31,5
2019,32,6
2019,33,6
2019,34,8
2019,35,9
2019,36,11
2019,37,13
2019,38,17
2019,39,16
2019,40,18
2019,41,21
2019,42,18
2019,43,18
2019,44,21
2019,45,18
2019,46,24
2019,47,18
2019,48,24
2019,49,21
