Year,Week,Searches
2014,50,40
2014,51,53
2014,52,53
2015,1,39
2015,2,35
2015,3,39
2015,4,35
2015,5,36
2015,6,38
2015,7,44
2015,8,40
2015,9,41
2015,10,44
2015,11,41
2015,12,37
2015,13,35
2015,14,37
2015,15,31
2015,16,27
2015,17,25
2015,18,23
2015,19,23
2015,20,19
2015,21,20
2015,22,16
2015,23,13
2015,24,13
2015,25,14
2015,26,14
2015,27,14
2015,28,11
2015,29,13
2015,30,14
2015,31,12
2015,32,13
2015,33,13
2015,34,13
2015,35,12
2015,36,14
2015,37,17
2015,38,15
2015,39,16
2015,40,17
2015,41,17
2015,42,19
2015,43,21
2015,44,21
2015,45,23
2015,46,23
2015,47,27
2015,48,32
2015,49,36
2015,50,36
2015,51,46
2015,52,48
2016,1,42
2016,2,33
2016,3,34
2016,4,33
2016,5,34
2016,6,37
2016,7,40
2016,8,41
2016,9,40
2016,10,42
2016,11,35
2016,12,33
2016,13,37
2016,14,29
2016,15,29
2016,16,24
2016,17,24
2016,18,22
2016,19,21
2016,20,20
2016,21,18
2016,22,18
2016,23,17
2016,24,16
2016,25,14
2016,26,13
2016,27,17
2016,28,14
2016,29,14
2016,30,14
2016,31,14
2016,32,15
2016,33,14
2016,34,14
2016,35,15
2016,36,15
2016,37,17
2016,38,19
2016,39,18
2016,40,20
2016,41,21
2016,42,21
2016,43,23
2016,44,23
2016,45,22
2016,46,30
2016,47,31
2016,48,34
2016,49,37
2016,50,44
2016,51,59
2016,52,80
2017,1,62
2017,2,61
2017,3,57
2017,4,54
2017,5,52
2017,6,56
2017,7,54
2017,8,50
2017,9,41
2017,10,39
2017,11,40
2017,12,40
2017,13,39
2017,14,35
2017,15,33
2017,16,32
2017,17,28
2017,18,26
2017,19,27
2017,20,26
2017,21,24
2017,22,22
2017,23,21
2017,24,17
2017,25,21
2017,26,17
2017,27,18
2017,28,18
2017,29,15
2017,30,15
2017,31,14
2017,32,16
2017,33,14
2017,34,15
2017,35,16
2017,36,15
2017,37,17
2017,38,18
2017,39,20
2017,40,17
2017,41,19
2017,42,22
2017,43,25
2017,44,28
2017,45,29
2017,46,32
2017,47,35
2017,48,43
2017,49,40
2017,50,53
2017,51,75
2017,52,100
2017,53,85
2018,1,80
2018,2,78
2018,3,81
2018,4,72
2018,5,74
2018,6,70
2018,7,51
2018,8,45
2018,9,39
2018,10,38
2018,11,37
2018,12,37
2018,13,37
2018,14,32
2018,15,29
2018,16,33
2018,17,28
2018,18,26
2018,19,25
2018,20,25
2018,21,23
2018,22,22
2018,23,19
2018,24,19
2018,25,19
2018,26,19
2018,27,20
2018,28,18
2018,29,18
2018,30,17
2018,31,17
2018,32,17
2018,33,18
2018,34,18
2018,35,19
2018,36,20
2018,37,21
2018,38,21
2018,39,24
2018,40,24
2018,41,26
2018,42,26
2018,43,30
2018,44,32
2018,45,34
2018,46,39
2018,47,44
2018,48,44
2018,49,49
2018,50,60
2018,51,87
2018,52,74
2019,1,56
2019,2,54
2019,3,54
2019,4,50
2019,5,55
2019,6,54
2019,7,54
2019,8,49
2019,9,50
2019,10,54
2019,11,51
2019,12,48
2019,13,43
2019,14,39
2019,15,35
2019,16,35
2019,17,32
2019,18,26
2019,19,25
2019,20,24
2019,21,23
2019,22,20
2019,23,20
2019,24,21
2019,25,22
2019,26,19
2019,27,20
2019,28,18
2019,29,17
2019,30,19
2019,31,19
2019,32,17
2019,33,15
2019,34,17
2019,35,19
2019,36,18
2019,37,20
2019,38,23
2019,39,21
2019,40,25
2019,41,27
2019,42,28
2019,43,28
2019,44,31
2019,45,34
2019,46,38
2019,47,42
2019,48,45
2019,49,40
