Year,Week,flu season,flu shot,flu symptoms,flu,flu vaccine,flu vs cold,cold flu,flu virus,stomach flu
2014,50,9,18,28,13,33,20,34,38,40
2014,51,10,13,36,11,22,27,45,44,53
2014,52,15,17,40,16,31,28,46,47,53
2015,1,19,16,33,18,31,28,47,43,39
2015,2,15,12,28,25,28,21,33,37,35
2015,3,11,9,26,29,20,18,32,31,39
2015,4,9,8,23,34,21,17,30,25,35
2015,5,8,6,19,29,20,18,27,26,36
2015,6,6,5,16,24,18,13,22,22,38
2015,7,5,4,15,22,16,14,21,20,44
2015,8,6,4,13,19,14,12,20,20,40
2015,9,6,3,12,16,13,8,20,22,41
2015,10,6,3,11,14,11,9,17,17,44
2015,11,6,2,9,14,9,8,17,17,41
2015,12,5,2,8,13,9,8,14,15,37
2015,13,5,2,8,12,7,6,16,14,35
2015,14,5,2,8,11,8,5,12,17,37
2015,15,5,2,8,10,11,6,11,16,31
2015,16,4,2,7,9,9,4,10,14,27
2015,17,3,1,6,8,7,4,10,10,25
2015,18,3,1,5,9,6,5,8,11,23
2015,19,3,1,5,9,7,4,8,10,23
2015,20,3,1,5,9,7,3,8,10,19
2015,21,2,1,4,7,6,4,7,7,20
2015,22,3,1,4,6,5,2,6,8,16
2015,23,2,1,4,6,5,3,8,8,13
2015,24,2,1,3,7,4,4,5,7,13
2015,25,2,1,3,6,4,1,6,7,14
2015,26,2,1,3,5,5,3,6,6,14
2015,27,2,1,3,5,6,2,5,7,14
2015,28,2,1,3,4,6,2,5,5,11
2015,29,2,1,3,4,5,1,4,6,13
2015,30,2,2,3,4,8,3,4,6,14
2015,31,3,2,3,4,10,2,6,6,12
2015,32,4,3,3,4,9,2,6,6,13
2015,33,4,4,3,4,13,1,6,5,13
2015,34,5,6,3,4,15,4,7,8,13
2015,35,5,9,4,4,26,4,10,9,12
2015,36,7,12,5,4,28,5,11,9,14
2015,37,10,22,6,4,47,5,13,12,17
2015,38,10,30,6,5,56,6,13,12,15
2015,39,10,40,6,6,74,6,16,14,16
2015,40,11,60,8,7,93,7,20,17,17
2015,41,8,55,8,10,70,8,21,16,17
2015,42,8,54,8,12,81,7,19,13,19
2015,43,7,47,8,15,68,8,18,15,21
2015,44,7,38,8,20,50,9,20,16,21
2015,45,6,30,8,18,37,8,19,13,23
2015,46,6,24,9,19,31,6,18,14,23
2015,47,5,17,8,16,23,8,18,12,27
2015,48,5,16,9,15,24,7,20,15,32
2015,49,5,13,9,13,20,11,20,15,36
2015,50,5,12,8,12,21,7,20,14,36
2015,51,4,9,10,10,13,10,20,17,46
2015,52,4,8,10,11,13,13,22,16,48
2016,1,6,8,10,10,15,11,26,17,42
2016,2,6,7,9,10,12,8,18,14,33
2016,3,6,6,9,11,12,9,20,16,34
2016,4,5,6,9,11,13,8,20,17,33
2016,5,6,6,9,11,12,9,19,20,34
2016,6,6,6,10,10,11,11,21,22,37
2016,7,7,6,13,10,13,12,24,31,40
2016,8,7,6,14,10,14,10,23,28,41
2016,9,7,6,16,10,13,10,21,26,40
2016,10,8,5,16,11,11,8,21,28,42
2016,11,7,4,14,14,10,9,18,22,35
2016,12,7,4,12,15,10,8,17,22,33
2016,13,6,4,10,16,10,8,17,20,37
2016,14,6,3,9,17,9,6,15,17,29
2016,15,6,2,8,14,9,5,12,16,29
2016,16,6,3,8,12,9,6,12,17,24
2016,17,4,2,7,12,8,5,12,13,24
2016,18,4,2,6,10,7,3,10,11,22
2016,19,3,2,5,9,7,4,11,12,21
2016,20,4,2,5,10,5,4,10,10,20
2016,21,3,2,4,8,5,4,8,9,18
2016,22,3,1,4,7,5,2,8,8,18
2016,23,2,1,4,7,4,2,8,7,17
2016,24,2,1,3,7,4,3,7,7,16
2016,25,3,2,3,10,6,3,6,5,14
2016,26,2,1,3,7,5,2,6,7,13
2016,27,2,1,3,5,6,2,6,7,17
2016,28,2,2,3,4,5,1,5,6,14
2016,29,1,2,2,4,6,2,6,6,14
2016,30,1,2,3,4,5,2,5,6,14
2016,31,2,2,3,4,7,1,4,6,14
2016,32,3,3,3,4,8,2,6,8,15
2016,33,3,4,3,4,11,2,6,6,14
2016,34,4,6,3,4,16,3,7,6,14
2016,35,5,8,4,4,21,4,9,8,15
2016,36,7,15,5,4,25,5,13,10,15
2016,37,8,24,5,5,37,7,15,11,17
2016,38,9,30,6,5,44,6,15,14,19
2016,39,10,42,6,6,54,5,19,13,18
2016,40,8,54,7,8,64,7,18,14,20
2016,41,8,51,8,11,58,9,21,13,21
2016,42,7,48,7,12,50,7,20,15,21
2016,43,6,44,8,15,47,8,18,16,23
2016,44,6,34,7,17,34,7,19,12,23
2016,45,6,27,7,17,28,9,19,12,22
2016,46,6,24,7,16,29,9,20,14,30
2016,47,5,17,7,15,17,7,17,13,31
2016,48,5,17,9,13,22,9,24,17,34
2016,49,5,15,8,11,21,9,21,14,37
2016,50,5,13,9,12,17,12,22,15,44
2016,51,5,12,11,10,15,11,27,22,59
2016,52,6,12,14,12,13,21,35,27,80
2017,1,8,13,15,11,17,22,38,26,62
2017,2,8,13,15,12,19,16,31,25,61
2017,3,8,11,15,14,16,14,28,26,57
2017,4,8,11,16,17,18,18,31,25,54
2017,5,9,12,19,18,20,22,35,29,52
2017,6,12,12,25,18,20,23,38,31,56
2017,7,11,10,25,18,19,23,35,32,54
2017,8,9,8,22,18,16,17,31,31,50
2017,9,9,6,15,21,13,11,24,23,41
2017,10,7,5,14,25,13,11,23,22,39
2017,11,6,4,12,24,9,11,22,20,40
2017,12,6,4,13,22,9,9,20,22,40
2017,13,8,3,11,16,9,8,19,19,39
2017,14,6,4,9,16,11,8,16,15,35
2017,15,6,3,7,14,8,6,14,15,33
2017,16,6,3,6,14,9,6,14,14,32
2017,17,5,2,6,13,8,5,12,13,28
2017,18,5,2,5,11,7,5,10,11,26
2017,19,5,2,5,9,7,4,12,11,27
2017,20,4,2,4,8,5,5,11,11,26
2017,21,4,2,4,7,5,5,12,10,24
2017,22,4,1,4,7,6,5,10,9,22
2017,23,3,2,4,6,6,3,9,7,21
2017,24,3,2,4,6,8,3,7,8,17
2017,25,3,2,3,5,8,2,7,7,21
2017,26,2,2,3,5,7,3,7,6,17
2017,27,2,2,3,5,7,3,6,7,18
2017,28,2,2,3,5,6,2,8,6,18
2017,29,3,2,3,4,7,3,7,5,15
2017,30,3,2,3,4,7,2,7,6,15
2017,31,3,3,3,4,8,3,7,7,14
2017,32,4,4,3,4,11,3,7,6,16
2017,33,5,6,3,4,12,4,7,6,14
2017,34,6,8,3,4,20,4,9,5,15
2017,35,7,11,4,4,25,4,12,8,16
2017,36,9,15,4,5,28,5,15,8,15
2017,37,10,25,5,5,40,5,17,10,17
2017,38,11,36,6,6,44,6,20,13,18
2017,39,12,46,7,7,59,10,21,13,20
2017,40,11,55,7,8,69,9,21,11,17
2017,41,10,56,7,11,59,9,20,14,19
2017,42,9,54,9,13,55,8,22,15,22
2017,43,9,49,9,16,53,8,22,16,25
2017,44,9,41,10,18,44,11,24,14,28
2017,45,8,37,10,18,40,11,24,16,29
2017,46,7,31,11,17,35,12,27,16,32
2017,47,5,21,10,17,28,11,25,14,35
2017,48,8,24,13,16,34,13,29,18,43
2017,49,14,28,14,16,43,15,29,20,40
2017,50,10,22,18,16,29,18,35,25,53
2017,51,11,20,27,13,26,28,47,34,75
2017,52,16,20,37,16,29,41,63,44,100
2017,53,24,22,41,19,33,44,71,47,85
2018,1,51,39,62,20,62,49,73,70,80
2018,2,70,50,83,29,73,58,78,81,78
2018,3,91,58,95,38,84,75,84,87,81
2018,4,100,59,100,43,81,100,100,100,72
2018,5,81,37,88,64,55,95,86,84,74
2018,6,66,30,78,80,56,74,72,70,70
2018,7,40,14,47,93,29,45,50,43,51
2018,8,27,9,29,100,24,29,37,28,45
2018,9,19,6,20,84,14,22,28,23,39
2018,10,16,5,16,71,13,18,26,18,38
2018,11,15,4,14,43,11,16,23,18,37
2018,12,16,5,14,28,12,13,22,19,37
2018,13,11,4,11,20,12,12,20,16,37
2018,14,9,3,9,17,10,7,15,14,32
2018,15,8,3,8,15,9,8,16,12,29
2018,16,8,3,7,15,9,8,16,14,33
2018,17,7,2,6,13,9,6,12,12,28
2018,18,6,2,5,11,7,4,11,10,26
2018,19,6,1,5,9,7,5,11,10,25
2018,20,5,2,4,9,6,5,11,9,25
2018,21,4,2,5,7,7,5,11,8,23
2018,22,5,2,4,7,6,4,9,7,22
2018,23,3,2,3,6,6,4,9,9,19
2018,24,3,2,3,6,6,3,8,8,19
2018,25,3,2,3,6,7,3,7,6,19
2018,26,3,1,3,5,5,2,6,6,19
2018,27,3,2,3,5,6,2,7,6,20
2018,28,3,2,3,5,6,3,7,6,18
2018,29,4,2,3,4,7,3,7,6,18
2018,30,4,3,3,4,8,2,7,6,17
2018,31,5,3,3,5,11,3,8,5,17
2018,32,7,5,3,4,13,3,9,6,17
2018,33,9,8,4,4,17,4,10,8,18
2018,34,10,11,4,4,21,4,14,8,18
2018,35,14,19,6,5,32,6,17,10,19
2018,36,16,31,6,5,45,8,19,14,20
2018,37,17,39,7,6,54,9,20,14,21
2018,38,21,56,8,7,74,9,23,15,21
2018,39,19,80,9,11,86,11,25,16,24
2018,40,18,82,10,13,79,11,26,18,24
2018,41,18,100,12,15,100,14,32,22,26
2018,42,15,82,12,19,76,13,29,21,26
2018,43,14,65,12,25,59,15,28,19,30
2018,44,12,50,11,25,47,14,25,17,32
2018,45,10,41,13,30,40,13,29,18,34
2018,46,8,29,11,26,29,15,28,16,39
