Year,Week,Searches
2014,50,18
2014,51,13
2014,52,17
2015,1,16
2015,2,12
2015,3,9
2015,4,8
2015,5,6
2015,6,5
2015,7,4
2015,8,4
2015,9,3
2015,10,3
2015,11,2
2015,12,2
2015,13,2
2015,14,2
2015,15,2
2015,16,2
2015,17,1
2015,18,1
2015,19,1
2015,20,1
2015,21,1
2015,22,1
2015,23,1
2015,24,1
2015,25,1
2015,26,1
2015,27,1
2015,28,1
2015,29,1
2015,30,2
2015,31,2
2015,32,3
2015,33,4
2015,34,6
2015,35,9
2015,36,12
2015,37,22
2015,38,30
2015,39,40
2015,40,60
2015,41,55
2015,42,54
2015,43,47
2015,44,38
2015,45,30
2015,46,24
2015,47,17
2015,48,16
2015,49,13
2015,50,12
2015,51,9
2015,52,8
2016,1,8
2016,2,7
2016,3,6
2016,4,6
2016,5,6
2016,6,6
2016,7,6
2016,8,6
2016,9,6
2016,10,5
2016,11,4
2016,12,4
2016,13,4
2016,14,3
2016,15,2
2016,16,3
2016,17,2
2016,18,2
2016,19,2
2016,20,2
2016,21,2
2016,22,1
2016,23,1
2016,24,1
2016,25,2
2016,26,1
2016,27,1
2016,28,2
2016,29,2
2016,30,2
2016,31,2
2016,32,3
2016,33,4
2016,34,6
2016,35,8
2016,36,15
2016,37,24
2016,38,30
2016,39,42
2016,40,54
2016,41,51
2016,42,48
2016,43,44
2016,44,34
2016,45,27
2016,46,24
2016,47,17
2016,48,17
2016,49,15
2016,50,13
2016,51,12
2016,52,12
2017,1,13
2017,2,13
2017,3,11
2017,4,11
2017,5,12
2017,6,12
2017,7,10
2017,8,8
2017,9,6
2017,10,5
2017,11,4
2017,12,4
2017,13,3
2017,14,4
2017,15,3
2017,16,3
2017,17,2
2017,18,2
2017,19,2
2017,20,2
2017,21,2
2017,22,1
2017,23,2
2017,24,2
2017,25,2
2017,26,2
2017,27,2
2017,28,2
2017,29,2
2017,30,2
2017,31,3
2017,32,4
2017,33,6
2017,34,8
2017,35,11
2017,36,15
2017,37,25
2017,38,36
2017,39,46
2017,40,55
2017,41,56
2017,42,54
2017,43,49
2017,44,41
2017,45,37
2017,46,31
2017,47,21
2017,48,24
2017,49,28
2017,50,22
2017,51,20
2017,52,20
2017,53,22
2018,1,39
2018,2,50
2018,3,58
2018,4,59
2018,5,37
2018,6,30
2018,7,14
2018,8,9
2018,9,6
2018,10,5
2018,11,4
2018,12,5
2018,13,4
2018,14,3
2018,15,3
2018,16,3
2018,17,2
2018,18,2
2018,19,1
2018,20,2
2018,21,2
2018,22,2
2018,23,2
2018,24,2
2018,25,2
2018,26,1
2018,27,2
2018,28,2
2018,29,2
2018,30,3
2018,31,3
2018,32,5
2018,33,8
2018,34,11
2018,35,19
2018,36,31
2018,37,39
2018,38,56
2018,39,80
2018,40,82
2018,41,100
2018,42,82
2018,43,65
2018,44,50
2018,45,41
2018,46,29
2018,47,29
2018,48,23
2018,49,21
2018,50,19
2018,51,16
2018,52,20
2019,1,22
2019,2,15
2019,3,13
2019,4,14
2019,5,14
2019,6,13
2019,7,11
2019,8,10
2019,9,9
2019,10,8
2019,11,7
2019,12,6
2019,13,5
2019,14,4
2019,15,3
2019,16,3
2019,17,3
2019,18,2
2019,19,2
2019,20,2
2019,21,2
2019,22,2
2019,23,2
2019,24,2
2019,25,2
2019,26,1
2019,27,2
2019,28,2
2019,29,2
2019,30,3
2019,31,3
2019,32,6
2019,33,8
2019,34,10
2019,35,17
2019,36,27
2019,37,41
2019,38,59
2019,39,78
2019,40,97
2019,41,91
2019,42,79
2019,43,62
2019,44,58
2019,45,46
2019,46,42
2019,47,27
2019,48,29
2019,49,23
