Year,Week,Searches
2014,50,28
2014,51,36
2014,52,40
2015,1,33
2015,2,28
2015,3,26
2015,4,23
2015,5,19
2015,6,16
2015,7,15
2015,8,13
2015,9,12
2015,10,11
2015,11,9
2015,12,8
2015,13,8
2015,14,8
2015,15,8
2015,16,7
2015,17,6
2015,18,5
2015,19,5
2015,20,5
2015,21,4
2015,22,4
2015,23,4
2015,24,3
2015,25,3
2015,26,3
2015,27,3
2015,28,3
2015,29,3
2015,30,3
2015,31,3
2015,32,3
2015,33,3
2015,34,3
2015,35,4
2015,36,5
2015,37,6
2015,38,6
2015,39,6
2015,40,8
2015,41,8
2015,42,8
2015,43,8
2015,44,8
2015,45,8
2015,46,9
2015,47,8
2015,48,9
2015,49,9
2015,50,8
2015,51,10
2015,52,10
2016,1,10
2016,2,9
2016,3,9
2016,4,9
2016,5,9
2016,6,10
2016,7,13
2016,8,14
2016,9,16
2016,10,16
2016,11,14
2016,12,12
2016,13,10
2016,14,9
2016,15,8
2016,16,8
2016,17,7
2016,18,6
2016,19,5
2016,20,5
2016,21,4
2016,22,4
2016,23,4
2016,24,3
2016,25,3
2016,26,3
2016,27,3
2016,28,3
2016,29,2
2016,30,3
2016,31,3
2016,32,3
2016,33,3
2016,34,3
2016,35,4
2016,36,5
2016,37,5
2016,38,6
2016,39,6
2016,40,7
2016,41,8
2016,42,7
2016,43,8
2016,44,7
2016,45,7
2016,46,7
2016,47,7
2016,48,9
2016,49,8
2016,50,9
2016,51,11
2016,52,14
2017,1,15
2017,2,15
2017,3,15
2017,4,16
2017,5,19
2017,6,25
2017,7,25
2017,8,22
2017,9,15
2017,10,14
2017,11,12
2017,12,13
2017,13,11
2017,14,9
2017,15,7
2017,16,6
2017,17,6
2017,18,5
2017,19,5
2017,20,4
2017,21,4
2017,22,4
2017,23,4
2017,24,4
2017,25,3
2017,26,3
2017,27,3
2017,28,3
2017,29,3
2017,30,3
2017,31,3
2017,32,3
2017,33,3
2017,34,3
2017,35,4
2017,36,4
2017,37,5
2017,38,6
2017,39,7
2017,40,7
2017,41,7
2017,42,9
2017,43,9
2017,44,10
2017,45,10
2017,46,11
2017,47,10
2017,48,13
2017,49,14
2017,50,18
2017,51,27
2017,52,37
2017,53,41
2018,1,62
2018,2,83
2018,3,95
2018,4,100
2018,5,88
2018,6,78
2018,7,47
2018,8,29
2018,9,20
2018,10,16
2018,11,14
2018,12,14
2018,13,11
2018,14,9
2018,15,8
2018,16,7
2018,17,6
2018,18,5
2018,19,5
2018,20,4
2018,21,5
2018,22,4
2018,23,3
2018,24,3
2018,25,3
2018,26,3
2018,27,3
2018,28,3
2018,29,3
2018,30,3
2018,31,3
2018,32,3
2018,33,4
2018,34,4
2018,35,6
2018,36,6
2018,37,7
2018,38,8
2018,39,9
2018,40,10
2018,41,12
2018,42,12
2018,43,12
2018,44,11
2018,45,13
2018,46,11
2018,47,13
2018,48,12
2018,49,13
2018,50,16
2018,51,21
2018,52,23
2019,1,21
2019,2,20
2019,3,22
2019,4,25
2019,5,31
2019,6,29
2019,7,28
2019,8,25
2019,9,23
2019,10,21
2019,11,18
2019,12,16
2019,13,12
2019,14,10
2019,15,8
2019,16,8
2019,17,7
2019,18,6
2019,19,6
2019,20,5
2019,21,5
2019,22,5
2019,23,4
2019,24,4
2019,25,4
2019,26,3
2019,27,3
2019,28,3
2019,29,3
2019,30,3
2019,31,3
2019,32,3
2019,33,4
2019,34,5
2019,35,5
2019,36,6
2019,37,7
2019,38,9
2019,39,9
2019,40,11
2019,41,11
2019,42,12
2019,43,11
2019,44,13
2019,45,14
2019,46,16
2019,47,14
2019,48,17
2019,49,16
