Year,Week,Searches
2014,50,33
2014,51,22
2014,52,31
2015,1,31
2015,2,28
2015,3,20
2015,4,21
2015,5,20
2015,6,18
2015,7,16
2015,8,14
2015,9,13
2015,10,11
2015,11,9
2015,12,9
2015,13,7
2015,14,8
2015,15,11
2015,16,9
2015,17,7
2015,18,6
2015,19,7
2015,20,7
2015,21,6
2015,22,5
2015,23,5
2015,24,4
2015,25,4
2015,26,5
2015,27,6
2015,28,6
2015,29,5
2015,30,8
2015,31,10
2015,32,9
2015,33,13
2015,34,15
2015,35,26
2015,36,28
2015,37,47
2015,38,56
2015,39,74
2015,40,93
2015,41,70
2015,42,81
2015,43,68
2015,44,50
2015,45,37
2015,46,31
2015,47,23
2015,48,24
2015,49,20
2015,50,21
2015,51,13
2015,52,13
2016,1,15
2016,2,12
2016,3,12
2016,4,13
2016,5,12
2016,6,11
2016,7,13
2016,8,14
2016,9,13
2016,10,11
2016,11,10
2016,12,10
2016,13,10
2016,14,9
2016,15,9
2016,16,9
2016,17,8
2016,18,7
2016,19,7
2016,20,5
2016,21,5
2016,22,5
2016,23,4
2016,24,4
2016,25,6
2016,26,5
2016,27,6
2016,28,5
2016,29,6
2016,30,5
2016,31,7
2016,32,8
2016,33,11
2016,34,16
2016,35,21
2016,36,25
2016,37,37
2016,38,44
2016,39,54
2016,40,64
2016,41,58
2016,42,50
2016,43,47
2016,44,34
2016,45,28
2016,46,29
2016,47,17
2016,48,22
2016,49,21
2016,50,17
2016,51,15
2016,52,13
2017,1,17
2017,2,19
2017,3,16
2017,4,18
2017,5,20
2017,6,20
2017,7,19
2017,8,16
2017,9,13
2017,10,13
2017,11,9
2017,12,9
2017,13,9
2017,14,11
2017,15,8
2017,16,9
2017,17,8
2017,18,7
2017,19,7
2017,20,5
2017,21,5
2017,22,6
2017,23,6
2017,24,8
2017,25,8
2017,26,7
2017,27,7
2017,28,6
2017,29,7
2017,30,7
2017,31,8
2017,32,11
2017,33,12
2017,34,20
2017,35,25
2017,36,28
2017,37,40
2017,38,44
2017,39,59
2017,40,69
2017,41,59
2017,42,55
2017,43,53
2017,44,44
2017,45,40
2017,46,35
2017,47,28
2017,48,34
2017,49,43
2017,50,29
2017,51,26
2017,52,29
2017,53,33
2018,1,62
2018,2,73
2018,3,84
2018,4,81
2018,5,55
2018,6,56
2018,7,29
2018,8,24
2018,9,14
2018,10,13
2018,11,11
2018,12,12
2018,13,12
2018,14,10
2018,15,9
2018,16,9
2018,17,9
2018,18,7
2018,19,7
2018,20,6
2018,21,7
2018,22,6
2018,23,6
2018,24,6
2018,25,7
2018,26,5
2018,27,6
2018,28,6
2018,29,7
2018,30,8
2018,31,11
2018,32,13
2018,33,17
2018,34,21
2018,35,32
2018,36,45
2018,37,54
2018,38,74
2018,39,86
2018,40,79
2018,41,100
2018,42,76
2018,43,59
2018,44,47
2018,45,40
2018,46,29
2018,47,33
2018,48,28
2018,49,23
2018,50,24
2018,51,22
2018,52,29
2019,1,26
2019,2,21
2019,3,20
2019,4,23
2019,5,24
2019,6,24
2019,7,21
2019,8,17
2019,9,18
2019,10,17
2019,11,15
2019,12,13
2019,13,13
2019,14,12
2019,15,10
2019,16,9
2019,17,9
2019,18,8
2019,19,8
2019,20,8
2019,21,7
2019,22,7
2019,23,6
2019,24,7
2019,25,7
2019,26,6
2019,27,7
2019,28,6
2019,29,7
2019,30,6
2019,31,9
2019,32,11
2019,33,15
2019,34,20
2019,35,26
2019,36,36
2019,37,49
2019,38,68
2019,39,84
2019,40,97
2019,41,85
2019,42,71
2019,43,57
2019,44,53
2019,45,44
2019,46,41
2019,47,27
2019,48,32
2019,49,20
