Category: All categories

Week,flu virus: (United States)
2014-12-14,38
2014-12-21,44
2014-12-28,47
2015-01-04,43
2015-01-11,37
2015-01-18,31
2015-01-25,25
2015-02-01,26
2015-02-08,22
2015-02-15,20
2015-02-22,20
2015-03-01,22
2015-03-08,17
2015-03-15,17
2015-03-22,15
2015-03-29,14
2015-04-05,17
2015-04-12,16
2015-04-19,14
2015-04-26,10
2015-05-03,11
2015-05-10,10
2015-05-17,10
2015-05-24,7
2015-05-31,8
2015-06-07,8
2015-06-14,7
2015-06-21,7
2015-06-28,6
2015-07-05,7
2015-07-12,5
2015-07-19,6
2015-07-26,6
2015-08-02,6
2015-08-09,6
2015-08-16,5
2015-08-23,8
2015-08-30,9
2015-09-06,9
2015-09-13,12
2015-09-20,12
2015-09-27,14
2015-10-04,17
2015-10-11,16
2015-10-18,13
2015-10-25,15
2015-11-01,16
2015-11-08,13
2015-11-15,14
2015-11-22,12
2015-11-29,15
2015-12-06,15
2015-12-13,14
2015-12-20,17
2015-12-27,16
2016-01-03,17
2016-01-10,14
2016-01-17,16
2016-01-24,17
2016-01-31,20
2016-02-07,22
2016-02-14,31
2016-02-21,28
2016-02-28,26
2016-03-06,28
2016-03-13,22
2016-03-20,22
2016-03-27,20
2016-04-03,17
2016-04-10,16
2016-04-17,17
2016-04-24,13
2016-05-01,11
2016-05-08,12
2016-05-15,10
2016-05-22,9
2016-05-29,8
2016-06-05,7
2016-06-12,7
2016-06-19,5
2016-06-26,7
2016-07-03,7
2016-07-10,6
2016-07-17,6
2016-07-24,6
2016-07-31,6
2016-08-07,8
2016-08-14,6
2016-08-21,6
2016-08-28,8
2016-09-04,10
2016-09-11,11
2016-09-18,14
2016-09-25,13
2016-10-02,14
2016-10-09,13
2016-10-16,15
2016-10-23,16
2016-10-30,12
2016-11-06,12
2016-11-13,14
2016-11-20,13
2016-11-27,17
2016-12-04,14
2016-12-11,15
2016-12-18,22
2016-12-25,27
2017-01-01,26
2017-01-08,25
2017-01-15,26
2017-01-22,25
2017-01-29,29
2017-02-05,31
2017-02-12,32
2017-02-19,31
2017-02-26,23
2017-03-05,22
2017-03-12,20
2017-03-19,22
2017-03-26,19
2017-04-02,15
2017-04-09,15
2017-04-16,14
2017-04-23,13
2017-04-30,11
2017-05-07,11
2017-05-14,11
2017-05-21,10
2017-05-28,9
2017-06-04,7
2017-06-11,8
2017-06-18,7
2017-06-25,6
2017-07-02,7
2017-07-09,6
2017-07-16,5
2017-07-23,6
2017-07-30,7
2017-08-06,6
2017-08-13,6
2017-08-20,5
2017-08-27,8
2017-09-03,8
2017-09-10,10
2017-09-17,13
2017-09-24,13
2017-10-01,11
2017-10-08,14
2017-10-15,15
2017-10-22,16
2017-10-29,14
2017-11-05,16
2017-11-12,16
2017-11-19,14
2017-11-26,18
2017-12-03,20
2017-12-10,25
2017-12-17,34
2017-12-24,44
2017-12-31,47
2018-01-07,70
2018-01-14,81
2018-01-21,87
2018-01-28,100
2018-02-04,84
2018-02-11,70
2018-02-18,43
2018-02-25,28
2018-03-04,23
2018-03-11,18
2018-03-18,18
2018-03-25,19
2018-04-01,16
2018-04-08,14
2018-04-15,12
2018-04-22,14
2018-04-29,12
2018-05-06,10
2018-05-13,10
2018-05-20,9
2018-05-27,8
2018-06-03,7
2018-06-10,9
2018-06-17,8
2018-06-24,6
2018-07-01,6
2018-07-08,6
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,5
2018-08-12,6
2018-08-19,8
2018-08-26,8
2018-09-02,10
2018-09-09,14
2018-09-16,14
2018-09-23,15
2018-09-30,16
2018-10-07,18
2018-10-14,22
2018-10-21,21
2018-10-28,19
2018-11-04,17
2018-11-11,18
2018-11-18,16
2018-11-25,20
2018-12-02,17
2018-12-09,19
2018-12-16,25
2018-12-23,29
2018-12-30,29
2019-01-06,29
2019-01-13,27
2019-01-20,26
2019-01-27,30
2019-02-03,33
2019-02-10,32
2019-02-17,32
2019-02-24,31
2019-03-03,29
2019-03-10,27
2019-03-17,24
2019-03-24,21
2019-03-31,18
2019-04-07,15
2019-04-14,14
2019-04-21,13
2019-04-28,12
2019-05-05,11
2019-05-12,12
2019-05-19,8
2019-05-26,8
2019-06-02,7
2019-06-09,7
2019-06-16,8
2019-06-23,6
2019-06-30,7
2019-07-07,6
2019-07-14,6
2019-07-21,8
2019-07-28,5
2019-08-04,5
2019-08-11,6
2019-08-18,6
2019-08-25,8
2019-09-01,9
2019-09-08,11
2019-09-15,13
2019-09-22,17
2019-09-29,16
2019-10-06,18
2019-10-13,21
2019-10-20,18
2019-10-27,18
2019-11-03,21
2019-11-10,18
2019-11-17,24
2019-11-24,18
2019-12-01,24
2019-12-08,21
