Year,Week,Searches
2014,50,20
2014,51,27
2014,52,28
2015,1,28
2015,2,21
2015,3,18
2015,4,17
2015,5,18
2015,6,13
2015,7,14
2015,8,12
2015,9,8
2015,10,9
2015,11,8
2015,12,8
2015,13,6
2015,14,5
2015,15,6
2015,16,4
2015,17,4
2015,18,5
2015,19,4
2015,20,3
2015,21,4
2015,22,2
2015,23,3
2015,24,4
2015,25,1
2015,26,3
2015,27,2
2015,28,2
2015,29,1
2015,30,3
2015,31,2
2015,32,2
2015,33,1
2015,34,4
2015,35,4
2015,36,5
2015,37,5
2015,38,6
2015,39,6
2015,40,7
2015,41,8
2015,42,7
2015,43,8
2015,44,9
2015,45,8
2015,46,6
2015,47,8
2015,48,7
2015,49,11
2015,50,7
2015,51,10
2015,52,13
2016,1,11
2016,2,8
2016,3,9
2016,4,8
2016,5,9
2016,6,11
2016,7,12
2016,8,10
2016,9,10
2016,10,8
2016,11,9
2016,12,8
2016,13,8
2016,14,6
2016,15,5
2016,16,6
2016,17,5
2016,18,3
2016,19,4
2016,20,4
2016,21,4
2016,22,2
2016,23,2
2016,24,3
2016,25,3
2016,26,2
2016,27,2
2016,28,1
2016,29,2
2016,30,2
2016,31,1
2016,32,2
2016,33,2
2016,34,3
2016,35,4
2016,36,5
2016,37,7
2016,38,6
2016,39,5
2016,40,7
2016,41,9
2016,42,7
2016,43,8
2016,44,7
2016,45,9
2016,46,9
2016,47,7
2016,48,9
2016,49,9
2016,50,12
2016,51,11
2016,52,21
2017,1,22
2017,2,16
2017,3,14
2017,4,18
2017,5,22
2017,6,23
2017,7,23
2017,8,17
2017,9,11
2017,10,11
2017,11,11
2017,12,9
2017,13,8
2017,14,8
2017,15,6
2017,16,6
2017,17,5
2017,18,5
2017,19,4
2017,20,5
2017,21,5
2017,22,5
2017,23,3
2017,24,3
2017,25,2
2017,26,3
2017,27,3
2017,28,2
2017,29,3
2017,30,2
2017,31,3
2017,32,3
2017,33,4
2017,34,4
2017,35,4
2017,36,5
2017,37,5
2017,38,6
2017,39,10
2017,40,9
2017,41,9
2017,42,8
2017,43,8
2017,44,11
2017,45,11
2017,46,12
2017,47,11
2017,48,13
2017,49,15
2017,50,18
2017,51,28
2017,52,41
2017,53,44
2018,1,49
2018,2,58
2018,3,75
2018,4,100
2018,5,95
2018,6,74
2018,7,45
2018,8,29
2018,9,22
2018,10,18
2018,11,16
2018,12,13
2018,13,12
2018,14,7
2018,15,8
2018,16,8
2018,17,6
2018,18,4
2018,19,5
2018,20,5
2018,21,5
2018,22,4
2018,23,4
2018,24,3
2018,25,3
2018,26,2
2018,27,2
2018,28,3
2018,29,3
2018,30,2
2018,31,3
2018,32,3
2018,33,4
2018,34,4
2018,35,6
2018,36,8
2018,37,9
2018,38,9
2018,39,11
2018,40,11
2018,41,14
2018,42,13
2018,43,15
2018,44,14
2018,45,13
2018,46,15
2018,47,18
2018,48,14
2018,49,18
2018,50,22
2018,51,25
2018,52,29
2019,1,24
2019,2,19
2019,3,20
2019,4,26
2019,5,27
2019,6,26
2019,7,23
2019,8,22
2019,9,23
2019,10,19
2019,11,18
2019,12,14
2019,13,13
2019,14,10
2019,15,10
2019,16,8
2019,17,8
2019,18,6
2019,19,6
2019,20,5
2019,21,5
2019,22,5
2019,23,4
2019,24,3
2019,25,3
2019,26,3
2019,27,2
2019,28,3
2019,29,2
2019,30,3
2019,31,4
2019,32,3
2019,33,4
2019,34,5
2019,35,7
2019,36,8
2019,37,9
2019,38,13
2019,39,14
2019,40,14
2019,41,14
2019,42,14
2019,43,15
2019,44,16
2019,45,15
2019,46,21
2019,47,18
2019,48,21
2019,49,28
