Year,Week,Searches
2014,50,63
2014,51,65
2014,52,71
2015,1,72
2015,2,66
2015,3,67
2015,4,66
2015,5,65
2015,6,63
2015,7,65
2015,8,64
2015,9,65
2015,10,63
2015,11,63
2015,12,64
2015,13,61
2015,14,61
2015,15,63
2015,16,62
2015,17,63
2015,18,61
2015,19,60
2015,20,60
2015,21,62
2015,22,64
2015,23,64
2015,24,64
2015,25,66
2015,26,66
2015,27,65
2015,28,69
2015,29,69
2015,30,68
2015,31,68
2015,32,70
2015,33,66
2015,34,66
2015,35,67
2015,36,67
2015,37,67
2015,38,67
2015,39,63
2015,40,69
2015,41,69
2015,42,68
2015,43,67
2015,44,69
2015,45,68
2015,46,68
2015,47,62
2015,48,66
2015,49,68
2015,50,63
2015,51,65
2015,52,75
2016,1,76
2016,2,68
2016,3,71
2016,4,77
2016,5,75
2016,6,73
2016,7,75
2016,8,78
2016,9,76
2016,10,76
2016,11,73
2016,12,73
2016,13,71
2016,14,69
2016,15,71
2016,16,70
2016,17,70
2016,18,66
2016,19,67
2016,20,71
2016,21,70
2016,22,70
2016,23,69
2016,24,66
2016,25,71
2016,26,72
2016,27,70
2016,28,71
2016,29,73
2016,30,73
2016,31,73
2016,32,68
2016,33,69
2016,34,72
2016,35,71
2016,36,72
2016,37,74
2016,38,75
2016,39,71
2016,40,72
2016,41,74
2016,42,74
2016,43,72
2016,44,71
2016,45,68
2016,46,74
2016,47,66
2016,48,71
2016,49,68
2016,50,72
2016,51,72
2016,52,79
2017,1,84
2017,2,78
2017,3,81
2017,4,77
2017,5,78
2017,6,79
2017,7,81
2017,8,80
2017,9,76
2017,10,78
2017,11,75
2017,12,77
2017,13,77
2017,14,78
2017,15,74
2017,16,75
2017,17,76
2017,18,76
2017,19,75
2017,20,75
2017,21,78
2017,22,75
2017,23,77
2017,24,79
2017,25,77
2017,26,78
2017,27,77
2017,28,81
2017,29,83
2017,30,83
2017,31,81
2017,32,82
2017,33,79
2017,34,84
2017,35,76
2017,36,75
2017,37,73
2017,38,78
2017,39,77
2017,40,75
2017,41,77
2017,42,78
2017,43,79
2017,44,78
2017,45,87
2017,46,89
2017,47,83
2017,48,91
2017,49,83
2017,50,81
2017,51,88
2017,52,93
2017,53,100
2018,1,98
2018,2,96
2018,3,96
2018,4,98
2018,5,96
2018,6,94
2018,7,95
2018,8,89
2018,9,89
2018,10,84
2018,11,88
2018,12,88
2018,13,86
2018,14,87
2018,15,83
2018,16,84
2018,17,82
2018,18,82
2018,19,81
2018,20,82
2018,21,83
2018,22,84
2018,23,85
2018,24,85
2018,25,88
2018,26,87
2018,27,91
2018,28,92
2018,29,90
2018,30,87
2018,31,90
2018,32,88
2018,33,84
2018,34,86
2018,35,84
2018,36,84
2018,37,86
2018,38,85
2018,39,85
2018,40,87
2018,41,86
2018,42,84
2018,43,87
2018,44,86
2018,45,84
2018,46,83
2018,47,89
2018,48,85
2018,49,84
2018,50,87
2018,51,89
2018,52,100
2019,1,97
2019,2,87
2019,3,91
2019,4,93
2019,5,93
2019,6,90
2019,7,92
2019,8,89
2019,9,92
2019,10,91
2019,11,90
2019,12,91
2019,13,86
2019,14,89
2019,15,82
2019,16,83
2019,17,84
2019,18,83
2019,19,85
2019,20,83
2019,21,83
2019,22,81
2019,23,82
2019,24,85
2019,25,89
2019,26,82
2019,27,88
2019,28,86
2019,29,92
2019,30,86
2019,31,88
2019,32,87
2019,33,85
2019,34,82
2019,35,80
2019,36,83
2019,37,85
2019,38,88
2019,39,87
2019,40,84
2019,41,84
2019,42,87
2019,43,84
2019,44,90
2019,45,86
2019,46,89
2019,47,83
2019,48,87
2019,49,88
