Year,Week,Searches
2014,50,68
2014,51,80
2014,52,80
2015,1,67
2015,2,58
2015,3,61
2015,4,62
2015,5,60
2015,6,62
2015,7,62
2015,8,60
2015,9,60
2015,10,58
2015,11,57
2015,12,57
2015,13,57
2015,14,57
2015,15,54
2015,16,55
2015,17,56
2015,18,58
2015,19,55
2015,20,56
2015,21,58
2015,22,54
2015,23,53
2015,24,47
2015,25,47
2015,26,50
2015,27,46
2015,28,44
2015,29,44
2015,30,42
2015,31,42
2015,32,44
2015,33,44
2015,34,45
2015,35,49
2015,36,53
2015,37,53
2015,38,53
2015,39,51
2015,40,50
2015,41,52
2015,42,48
2015,43,48
2015,44,54
2015,45,55
2015,46,55
2015,47,56
2015,48,57
2015,49,58
2015,50,58
2015,51,71
2015,52,76
2016,1,66
2016,2,55
2016,3,60
2016,4,60
2016,5,62
2016,6,63
2016,7,64
2016,8,65
2016,9,65
2016,10,64
2016,11,61
2016,12,62
2016,13,59
2016,14,59
2016,15,60
2016,16,61
2016,17,56
2016,18,56
2016,19,61
2016,20,59
2016,21,57
2016,22,55
2016,23,51
2016,24,48
2016,25,48
2016,26,47
2016,27,45
2016,28,44
2016,29,44
2016,30,42
2016,31,41
2016,32,42
2016,33,44
2016,34,49
2016,35,54
2016,36,56
2016,37,58
2016,38,58
2016,39,55
2016,40,53
2016,41,53
2016,42,51
2016,43,52
2016,44,55
2016,45,54
2016,46,61
2016,47,62
2016,48,62
2016,49,61
2016,50,62
2016,51,71
2016,52,77
2017,1,72
2017,2,60
2017,3,60
2017,4,65
2017,5,68
2017,6,70
2017,7,69
2017,8,68
2017,9,62
2017,10,64
2017,11,62
2017,12,64
2017,13,64
2017,14,64
2017,15,65
2017,16,60
2017,17,60
2017,18,60
2017,19,63
2017,20,66
2017,21,63
2017,22,60
2017,23,57
2017,24,56
2017,25,51
2017,26,51
2017,27,48
2017,28,48
2017,29,46
2017,30,47
2017,31,45
2017,32,47
2017,33,48
2017,34,52
2017,35,58
2017,36,59
2017,37,62
2017,38,60
2017,39,58
2017,40,52
2017,41,52
2017,42,54
2017,43,56
2017,44,60
2017,45,63
2017,46,68
2017,47,71
2017,48,72
2017,49,70
2017,50,75
2017,51,86
2017,52,100
2017,53,91
2018,1,73
2018,2,72
2018,3,75
2018,4,78
2018,5,80
2018,6,77
2018,7,70
2018,8,67
2018,9,69
2018,10,68
2018,11,68
2018,12,68
2018,13,67
2018,14,65
2018,15,62
2018,16,65
2018,17,63
2018,18,62
2018,19,60
2018,20,64
2018,21,62
2018,22,60
2018,23,57
2018,24,54
2018,25,54
2018,26,51
2018,27,51
2018,28,48
2018,29,47
2018,30,47
2018,31,49
2018,32,50
2018,33,54
2018,34,59
2018,35,61
2018,36,60
2018,37,61
2018,38,60
2018,39,57
2018,40,57
2018,41,56
2018,42,59
2018,43,60
2018,44,65
2018,45,69
2018,46,68
2018,47,72
2018,48,67
2018,49,70
2018,50,79
2018,51,92
2018,52,87
2019,1,70
2019,2,65
2019,3,70
2019,4,73
2019,5,74
2019,6,73
2019,7,75
2019,8,70
2019,9,70
2019,10,72
2019,11,69
2019,12,69
2019,13,66
2019,14,66
2019,15,65
2019,16,65
2019,17,64
2019,18,65
2019,19,71
2019,20,71
2019,21,67
2019,22,61
2019,23,57
2019,24,56
2019,25,56
2019,26,52
2019,27,50
2019,28,48
2019,29,47
2019,30,47
2019,31,47
2019,32,51
2019,33,54
2019,34,58
2019,35,58
2019,36,63
2019,37,63
2019,38,60
2019,39,56
2019,40,56
2019,41,56
2019,42,58
2019,43,59
2019,44,67
2019,45,66
2019,46,71
2019,47,71
2019,48,72
2019,49,69
