Category: All categories

Week,headache: (United States)
2014-12-14,63
2014-12-21,65
2014-12-28,71
2015-01-04,72
2015-01-11,66
2015-01-18,67
2015-01-25,66
2015-02-01,65
2015-02-08,63
2015-02-15,65
2015-02-22,64
2015-03-01,65
2015-03-08,63
2015-03-15,63
2015-03-22,64
2015-03-29,61
2015-04-05,61
2015-04-12,63
2015-04-19,62
2015-04-26,63
2015-05-03,61
2015-05-10,60
2015-05-17,60
2015-05-24,62
2015-05-31,64
2015-06-07,64
2015-06-14,64
2015-06-21,66
2015-06-28,66
2015-07-05,65
2015-07-12,69
2015-07-19,69
2015-07-26,68
2015-08-02,68
2015-08-09,70
2015-08-16,66
2015-08-23,66
2015-08-30,67
2015-09-06,67
2015-09-13,67
2015-09-20,67
2015-09-27,63
2015-10-04,69
2015-10-11,69
2015-10-18,68
2015-10-25,67
2015-11-01,69
2015-11-08,68
2015-11-15,68
2015-11-22,62
2015-11-29,66
2015-12-06,68
2015-12-13,63
2015-12-20,65
2015-12-27,75
2016-01-03,76
2016-01-10,68
2016-01-17,71
2016-01-24,77
2016-01-31,75
2016-02-07,73
2016-02-14,75
2016-02-21,78
2016-02-28,76
2016-03-06,76
2016-03-13,73
2016-03-20,73
2016-03-27,71
2016-04-03,69
2016-04-10,71
2016-04-17,70
2016-04-24,70
2016-05-01,66
2016-05-08,67
2016-05-15,71
2016-05-22,70
2016-05-29,70
2016-06-05,69
2016-06-12,66
2016-06-19,71
2016-06-26,72
2016-07-03,70
2016-07-10,71
2016-07-17,73
2016-07-24,73
2016-07-31,73
2016-08-07,68
2016-08-14,69
2016-08-21,72
2016-08-28,71
2016-09-04,72
2016-09-11,74
2016-09-18,75
2016-09-25,71
2016-10-02,72
2016-10-09,74
2016-10-16,74
2016-10-23,72
2016-10-30,71
2016-11-06,68
2016-11-13,74
2016-11-20,66
2016-11-27,71
2016-12-04,68
2016-12-11,72
2016-12-18,72
2016-12-25,79
2017-01-01,84
2017-01-08,78
2017-01-15,81
2017-01-22,77
2017-01-29,78
2017-02-05,79
2017-02-12,81
2017-02-19,80
2017-02-26,76
2017-03-05,78
2017-03-12,75
2017-03-19,77
2017-03-26,77
2017-04-02,78
2017-04-09,74
2017-04-16,75
2017-04-23,76
2017-04-30,76
2017-05-07,75
2017-05-14,75
2017-05-21,78
2017-05-28,75
2017-06-04,77
2017-06-11,79
2017-06-18,77
2017-06-25,78
2017-07-02,77
2017-07-09,81
2017-07-16,83
2017-07-23,83
2017-07-30,81
2017-08-06,82
2017-08-13,79
2017-08-20,84
2017-08-27,76
2017-09-03,75
2017-09-10,73
2017-09-17,78
2017-09-24,77
2017-10-01,75
2017-10-08,77
2017-10-15,78
2017-10-22,79
2017-10-29,78
2017-11-05,87
2017-11-12,89
2017-11-19,83
2017-11-26,91
2017-12-03,83
2017-12-10,81
2017-12-17,88
2017-12-24,93
2017-12-31,100
2018-01-07,98
2018-01-14,96
2018-01-21,96
2018-01-28,98
2018-02-04,96
2018-02-11,94
2018-02-18,95
2018-02-25,89
2018-03-04,89
2018-03-11,84
2018-03-18,88
2018-03-25,88
2018-04-01,86
2018-04-08,87
2018-04-15,83
2018-04-22,84
2018-04-29,82
2018-05-06,82
2018-05-13,81
2018-05-20,82
2018-05-27,83
2018-06-03,84
2018-06-10,85
2018-06-17,85
2018-06-24,88
2018-07-01,87
2018-07-08,91
2018-07-15,92
2018-07-22,90
2018-07-29,87
2018-08-05,90
2018-08-12,88
2018-08-19,84
2018-08-26,86
2018-09-02,84
2018-09-09,84
2018-09-16,86
2018-09-23,85
2018-09-30,85
2018-10-07,87
2018-10-14,86
2018-10-21,84
2018-10-28,87
2018-11-04,86
2018-11-11,84
2018-11-18,83
2018-11-25,89
2018-12-02,85
2018-12-09,84
2018-12-16,87
2018-12-23,89
2018-12-30,100
2019-01-06,97
2019-01-13,87
2019-01-20,91
2019-01-27,93
2019-02-03,93
2019-02-10,90
2019-02-17,92
2019-02-24,89
2019-03-03,92
2019-03-10,91
2019-03-17,90
2019-03-24,91
2019-03-31,86
2019-04-07,89
2019-04-14,82
2019-04-21,83
2019-04-28,84
2019-05-05,83
2019-05-12,85
2019-05-19,83
2019-05-26,83
2019-06-02,81
2019-06-09,82
2019-06-16,85
2019-06-23,89
2019-06-30,82
2019-07-07,88
2019-07-14,86
2019-07-21,92
2019-07-28,86
2019-08-04,88
2019-08-11,87
2019-08-18,85
2019-08-25,82
2019-09-01,80
2019-09-08,83
2019-09-15,85
2019-09-22,88
2019-09-29,87
2019-10-06,84
2019-10-13,84
2019-10-20,87
2019-10-27,84
2019-11-03,90
2019-11-10,86
2019-11-17,89
2019-11-24,83
2019-12-01,87
2019-12-08,88
