Year,Week,Age 0-4,Age 5-24,Age 25-49,Age 50-64,Age over 64,Total ILI,Total Patients,% Unweighted ILI,% Weighted ILI
2014,40,2985,4078,2056,725,530,10374,847743,1.22,1.18
2014,41,3125,4534,2209,866,563,11297,838183,1.34,1.34
2014,42,3483,4806,2377,880,581,12127,851638,1.42,1.39
2014,43,3486,5027,2520,906,535,12474,868755,1.43,1.44
2014,44,3652,5172,2316,815,535,12490,862144,1.44,1.44
2014,45,4303,5878,2421,889,611,14102,866246,1.62,1.65
2014,46,4433,5836,2332,916,592,14109,849511,1.66,1.64
2014,47,4765,7449,3025,1078,650,16967,835555,2.03,2.09
2014,48,5468,6964,3401,1188,890,17911,674251,2.65,2.58
2014,49,6206,9220,4765,1812,1244,23247,883417,2.63,2.57
2014,50,7455,13259,5429,2012,1472,29627,857996,3.45,3.65
2014,51,9311,16573,7066,2725,2125,37800,839853,4.5,4.96
2014,52,10383,13994,9019,3729,3539,40664,664641,6.11,5.99
2014,53,9771,9502,9477,4342,4146,37238,697718,5.33,5.51
2015,01,7183,9709,8229,3673,3076,31870,779124,4.09,4.23
2015,02,7078,12121,7115,2953,2346,31613,796284,3.97,4.25
2015,03,7869,14107,6616,2996,2042,33630,807737,4.16,4.25
2015,04,7148,13289,5971,2609,1926,30943,797511,3.87,3.96
2015,05,6683,12252,5511,2428,1689,28563,826112,3.45,3.62
2015,06,6449,10450,5022,2114,1542,25577,832742,3.07,3.25
2015,07,5575,8271,4423,1895,1305,21469,750032,2.86,2.97
2015,08,4861,7391,4172,1803,1285,19512,818991,2.38,2.58
2015,09,4659,7265,4036,1733,1095,18788,793770,2.36,2.51
2015,10,4742,6832,3776,1704,1089,18143,809260,2.24,2.4
2015,11,4584,6187,3576,1617,1023,16987,808539,2.1,2.21
2015,12,4436,6126,3389,1519,955,16425,805058,2.04,2.08
2015,13,4207,5730,3050,1350,916,15253,774945,1.96,1.99
2015,14,3925,4728,2992,1440,903,13988,789396,1.77,1.76
2015,15,3470,4309,2535,1203,794,12311,802884,1.53,1.58
2015,16,3200,4055,2100,995,671,11021,759878,1.45,1.4
2015,17,3222,4368,2190,910,621,11311,764432,1.47,1.49
2015,18,3139,4171,2163,866,607,10946,751690,1.45,1.42
2015,19,2819,3734,1876,837,625,9891,718343,1.37,1.38
2015,20,2802,3390,1841,768,488,9289,683666,1.35,1.29
2015,21,2611,2834,1556,683,514,8198,618554,1.32,1.26
2015,22,2235,2463,1440,616,472,7226,613744,1.17,1.23
2015,23,2125,2409,1422,611,462,7029,611983,1.14,1.11
2015,24,1738,2147,1260,516,418,6079,604481,1,0.98
2015,25,1903,2019,1249,514,444,6129,592727,1.03,0.98
2015,26,1683,1768,1132,447,386,5416,533964,1.01,0.99
2015,27,1550,1748,1149,465,379,5291,590571,0.89,0.9
2015,28,1489,1681,1095,419,341,5025,589265,0.85,0.84
2015,29,1420,1593,1096,439,331,4879,581029,0.83,0.79
2015,30,1400,1528,1053,429,303,4713,564240,0.83,0.76
2015,31,1402,1675,1085,417,329,4908,570285,0.86,0.79
2015,32,1327,1722,1102,401,293,4845,572498,0.84,0.81
2015,33,1433,1876,1188,443,365,5305,599672,0.88,0.85
2015,34,1654,2050,1174,413,354,5645,607104,0.92,0.85
2015,35,1619,2333,1280,487,326,6045,590887,1.02,0.92
2015,36,1696,2256,1365,471,336,6124,550931,1.11,0.96
2015,37,1950,2761,1448,552,397,7108,613600,1.15,1.1
2015,38,2096,2968,1613,612,413,7702,602927,1.27,1.18
2015,39,1935,2527,1653,629,338,7082,546189,1.29,1.12
2015,40,2868,3753,2059,899,626,10205,814503,1.3,1.2
2015,41,3014,4001,2094,910,678,10697,809033,1.3,1.3
2015,42,3261,4360,2357,951,653,11582,827238,1.4,1.4
2015,43,3138,4147,2255,926,693,11159,821596,1.4,1.4
2015,44,3592,4798,2458,937,694,12479,848307,1.5,1.4
2015,45,3753,4729,2513,943,742,12680,826121,1.5,1.5
2015,46,3961,5078,2659,1025,769,13492,838073,1.6,1.6
2015,47,3972,4066,2427,981,703,12149,638819,1.9,1.9
2015,48,4467,5076,3009,1232,829,14613,840747,1.7,1.7
2015,49,4586,5379,2902,1252,873,14992,823133,1.8,1.8
2015,50,5137,5105,2963,1252,943,15400,781499,2,1.9
2015,51,5366,4307,2874,1252,1006,14805,611577,2.4,2.3
2015,52,5697,4007,3263,1521,1178,15666,649067,2.4,2.4
2016,01,4775,4490,3594,1631,1158,15648,784274,2,2
2016,02,4569,5360,3179,1378,1021,15507,778006,2,2
2016,03,4764,5355,3205,1291,950,15565,738719,2.1,2.1
2016,04,5085,6876,3608,1551,1004,18124,829706,2.2,2.2
2016,05,5130,7347,3755,1625,1070,18927,821321,2.3,2.4
