,Year,Week,Tweets per week
0,2014,41,160
1,2014,42,175
2,2014,43,340
3,2014,44,293
4,2014,45,333
5,2014,46,388
6,2014,47,341
7,2014,48,395
8,2014,49,486
9,2014,50,437
10,2014,51,528
11,2014,52,470
12,2015,1,518
13,2015,2,441
14,2015,3,380
15,2015,4,445
16,2015,5,540
17,2015,6,535
18,2015,7,463
19,2015,8,508
20,2015,9,402
21,2015,10,588
22,2015,11,495
23,2015,12,364
24,2015,13,401
25,2015,14,370
26,2015,15,384
27,2015,16,339
28,2015,17,314
29,2015,18,321
30,2015,19,398
31,2015,20,398
32,2015,21,244
33,2015,22,309
34,2015,23,416
35,2015,24,353
36,2015,25,242
37,2015,26,173
38,2015,27,238
39,2015,28,227
40,2015,29,219
41,2015,30,180
42,2015,31,264
43,2015,32,257
44,2015,33,244
45,2015,34,238
46,2015,35,264
47,2015,36,291
48,2015,37,261
49,2015,38,302
50,2015,39,235
51,2015,40,253
52,2015,41,205
53,2015,42,202
54,2015,43,356
55,2015,44,347
56,2015,45,362
57,2015,46,392
58,2015,47,396
59,2015,48,387
60,2015,49,488
61,2015,50,511
62,2015,51,606
63,2015,52,559
64,2016,1,573
65,2016,2,561
66,2016,3,556
67,2016,4,568
68,2016,5,532
69,2016,6,645
70,2016,7,566
71,2016,8,517
72,2016,9,456
73,2016,10,596
74,2016,11,507
75,2016,12,387
76,2016,13,450
77,2016,14,402
78,2016,15,399
79,2016,16,378
80,2016,17,333
81,2016,18,280
82,2016,19,398
83,2016,20,440
84,2016,21,287
85,2016,22,354
86,2016,23,441
87,2016,24,403
88,2016,25,396
89,2016,26,240
90,2016,27,255
91,2016,28,290
92,2016,29,259
93,2016,30,312
94,2016,31,336
95,2016,32,280
96,2016,33,269
97,2016,34,270
98,2016,35,286
99,2016,36,324
100,2016,37,421
101,2016,38,460
102,2016,39,437
103,2016,40,399
104,2016,41,354
105,2016,42,335
106,2016,43,493
107,2016,44,490
108,2016,45,506
109,2016,46,571
110,2016,47,532
111,2016,48,626
112,2016,49,574
113,2016,50,712
114,2016,51,756
115,2016,52,691
116,2017,1,745
117,2017,2,694
118,2017,3,648
119,2017,4,643
120,2017,5,604
121,2017,6,884
122,2017,7,671
123,2017,8,629
124,2017,9,584
125,2017,10,803
126,2017,11,626
127,2017,12,524
128,2017,13,579
129,2017,14,516
130,2017,15,552
131,2017,16,493
132,2017,17,438
133,2017,18,411
134,2017,19,563
135,2017,20,574
136,2017,21,580
137,2017,22,534
138,2017,23,409
139,2017,24,480
140,2017,25,531
141,2017,26,370
142,2017,27,379
143,2017,28,429
144,2017,29,391
145,2017,30,437
146,2017,31,456
147,2017,32,401
148,2017,33,380
149,2017,34,395
150,2017,35,280
151,2017,36,427
152,2017,37,403
153,2017,38,439
154,2017,39,371
155,2017,40,492
156,2017,41,441
157,2017,42,440
158,2017,43,579
159,2017,44,635
160,2017,45,616
161,2017,46,667
162,2017,47,626
163,2017,48,708
164,2017,49,705
165,2017,50,754
166,2017,51,758
167,2017,52,744
168,2018,1,891
169,2018,2,820
170,2018,3,850
171,2018,4,767
172,2018,5,704
173,2018,6,932
174,2018,7,702
175,2018,8,732
176,2018,9,674
177,2018,10,906
178,2018,11,674
179,2018,12,611
180,2018,13,648
181,2018,14,620
182,2018,15,491
183,2018,16,483
184,2018,17,402
185,2018,18,412
186,2018,19,563
187,2018,20,594
188,2018,21,594
189,2018,22,520
190,2018,23,407
191,2018,24,489
192,2018,25,517
193,2018,26,369
194,2018,27,379
195,2018,28,413
196,2018,29,448
197,2018,30,492
198,2018,31,513
199,2018,32,401
200,2018,33,361
201,2018,34,380
202,2018,35,404
203,2018,36,442
204,2018,37,406
205,2018,38,433
206,2018,39,429
207,2018,40,399
208,2018,41,403
209,2018,42,431
210,2018,43,415
211,2018,44,379
212,2018,45,381
213,2018,46,431
214,2018,47,436
215,2018,48,488
216,2018,49,504
217,2018,50,543
218,2018,51,531
219,2018,52,535
220,2019,1,443
221,2019,2,681
222,2019,3,1311
223,2019,4,707
224,2019,5,570
225,2019,6,831
226,2019,7,625
227,2019,8,607
228,2019,9,510
229,2019,10,616
230,2019,11,657
231,2019,12,557
232,2019,13,534
233,2019,14,502
234,2019,15,448
235,2019,16,431
236,2019,17,448
237,2019,18,320
238,2019,19,429
239,2019,20,277
240,2019,21,349
241,2019,22,381
242,2019,23,344
243,2019,24,319
244,2019,25,322
245,2019,26,358
246,2019,27,319
247,2019,28,250
248,2019,29,275
249,2019,30,306
250,2019,31,270
251,2019,32,317
252,2019,33,228
253,2019,34,307
254,2019,35,279
