Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,1,2017-01-02,2017-01-08,336,362,,2,23,0,5,30,0,0,6,6,36,521,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,2,2017-01-09,2017-01-15,363,384,,2,19,0,9,30,0,0,2,2,32,519,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,3,2017-01-16,2017-01-22,320,337,,1,18,0,6,25,0,0,3,3,28,444,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,4,2017-01-23,2017-01-29,288,314,,3,22,0,12,37,0,0,2,2,39,409,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,5,2017-01-30,2017-02-05,273,314,,2,37,0,10,49,0,0,2,2,51,433,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,6,2017-02-06,2017-02-12,239,272,,0,32,0,8,40,0,0,1,1,41,375,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,7,2017-02-13,2017-02-19,300,321,,0,21,0,9,30,0,0,3,3,33,492,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,8,2017-02-20,2017-02-26,324,366,,1,34,0,7,42,0,0,8,8,50,481,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,9,2017-02-27,2017-03-05,386,408,,0,21,0,4,25,0,0,2,2,27,548,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,10,2017-03-06,2017-03-12,346,364,,2,14,0,2,18,0,0,2,2,20,508,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,11,2017-03-13,2017-03-19,321,342,,2,19,0,9,30,0,0,2,2,32,463,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,12,2017-03-20,2017-03-26,359,545,,5,18,0,11,34,0,0,2,2,36,509,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,13,2017-03-27,2017-04-02,453,692,,3,15,0,14,32,0,0,8,8,40,662,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2017,14,2017-04-03,2017-04-09,423,617,,1,9,0,5,15,0,0,6,6,21,596,Sporadic
