Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,2018,1,2018-01-01,2018-01-07,67694,67694,0,320,3310,0,13057,16687,465,45,2700,3210,19897,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,2,2018-01-08,2018-01-14,75166,75166,0,400,3348,0,15219,18967,538,42,3409,3989,22956,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,3,2018-01-15,2018-01-21,75347,75347,0,406,2726,0,14832,17964,536,47,4094,4677,22641,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,4,2018-01-22,2018-01-28,87183,87183,0,540,2747,0,16672,19959,717,59,5581,6357,26316,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,5,2018-01-29,2018-02-04,88640,88640,0,542,2488,0,15232,18262,802,91,6987,7880,26142,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,6,2018-02-05,2018-02-11,87821,87821,0,543,2035,0,14148,16726,931,113,8187,9231,25957,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,7,2018-02-12,2018-02-18,80394,80394,0,492,1496,0,11393,13381,927,113,8461,9501,22882,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,8,2018-02-19,2018-02-25,64484,64484,0,297,1048,0,7196,8541,885,110,6645,7640,16181,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,9,2018-02-26,2018-03-04,51836,51836,0,245,588,0,4404,5237,697,88,4756,5541,10778,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,10,2018-03-05,2018-03-11,43972,43972,0,144,408,0,2922,3474,646,88,3706,4440,7914,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,11,2018-03-12,2018-03-18,39288,39288,0,187,277,0,2374,2838,535,70,3564,4169,7007,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,12,2018-03-19,2018-03-25,35156,35156,0,120,234,0,1968,2322,465,51,3164,3680,6002,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,13,2018-03-26,2018-04-01,32335,32335,0,131,220,0,1703,2054,455,62,3009,3526,5580,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,14,2018-04-02,2018-04-08,28954,28954,0,119,163,0,1128,1410,405,54,2390,2849,4259,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,15,2018-04-09,2018-04-15,26496,26496,0,101,102,0,903,1106,297,40,1971,2308,3414,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,16,2018-04-16,2018-04-22,22326,22326,0,51,86,0,593,730,211,43,1459,1713,2443,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,17,2018-04-23,2018-04-29,20328,20328,0,56,52,0,473,581,135,28,1129,1292,1873,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,18,2018-04-30,2018-05-06,17895,17895,0,39,31,0,349,419,137,14,747,898,1317,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,19,2018-05-07,2018-05-13,15554,15554,0,16,20,0,191,227,68,6,475,549,776,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,20,2018-05-14,2018-05-20,13456,13456,0,16,10,0,176,202,27,6,246,279,481,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,21,2018-05-21,2018-05-27,12137,12137,0,18,6,0,119,143,20,4,171,195,338,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,22,2018-05-28,2018-06-03,11048,11048,0,7,5,0,77,89,11,2,91,104,193,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,23,2018-06-04,2018-06-10,9986,9986,0,6,3,0,74,83,9,3,83,95,178,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,24,2018-06-11,2018-06-17,9203,9203,0,6,3,0,51,60,8,3,67,78,138,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,25,2018-06-18,2018-06-24,8712,8712,0,1,3,0,49,53,6,3,38,47,100,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,26,2018-06-25,2018-07-01,7917,7917,0,2,6,0,57,65,1,0,29,30,95,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,27,2018-07-02,2018-07-08,6929,6929,0,9,5,0,44,58,6,0,26,32,90,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,28,2018-07-09,2018-07-15,7127,7127,0,8,9,0,51,68,3,2,14,19,87,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,29,2018-07-16,2018-07-22,6993,6993,0,15,5,0,57,77,4,2,18,24,101,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,30,2018-07-23,2018-07-29,6944,6944,0,9,3,0,51,63,0,2,19,21,84,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,31,2018-07-30,2018-08-05,6467,6467,0,7,10,0,49,66,1,0,16,17,83,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,32,2018-08-06,2018-08-12,6942,6942,0,6,8,0,46,60,2,0,23,25,85,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,33,2018-08-13,2018-08-19,7217,7217,0,5,9,0,42,56,2,0,19,21,77,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,34,2018-08-20,2018-08-26,8002,8002,0,16,19,0,82,117,1,0,28,29,146,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,35,2018-08-27,2018-09-02,8927,8927,0,10,6,0,98,114,2,0,33,35,149,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,36,2018-09-03,2018-09-09,10074,10074,0,17,17,0,118,152,1,0,53,54,206,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,37,2018-09-10,2018-09-16,12351,12351,0,29,14,0,153,196,4,0,48,52,248,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,38,2018-09-17,2018-09-23,13259,13259,0,21,16,0,158,195,2,0,67,69,264,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,39,2018-09-24,2018-09-30,14017,14017,0,8,8,0,162,178,3,0,50,53,231,0,No Report
United States of America,Region of the Americas of WHO,North America,2018,40,2018-10-01,2018-10-07,17330,17330,0,29,11,0,226,266,11,7,71,89,355,16975,No Report
United States of America,Region of the Americas of WHO,North America,2018,41,2018-10-08,2018-10-14,18954,18954,0,52,11,0,231,294,5,3,88,96,390,18564,No Report
United States of America,Region of the Americas of WHO,North America,2018,42,2018-10-15,2018-10-21,21302,21302,0,52,22,0,324,398,14,2,90,106,504,20798,No Report
United States of America,Region of the Americas of WHO,North America,2018,43,2018-10-22,2018-10-28,22528,22528,0,76,35,0,343,454,13,0,104,117,571,21957,No Report
United States of America,Region of the Americas of WHO,North America,2018,44,2018-10-29,2018-11-04,23695,23695,0,84,23,0,393,500,8,1,100,109,609,23086,No Report
United States of America,Region of the Americas of WHO,North America,2018,45,2018-11-05,2018-11-11,24855,24855,0,117,27,0,561,705,7,4,103,114,819,24036,No Report
United States of America,Region of the Americas of WHO,North America,2018,46,2018-11-12,2018-11-18,25902,25902,0,148,41,0,680,869,3,2,104,109,978,24924,No Report
United States of America,Region of the Americas of WHO,North America,2018,47,2018-11-19,2018-11-25,25858,25858,0,215,54,0,907,1176,5,2,77,84,1260,24598,No Report
United States of America,Region of the Americas of WHO,North America,2018,48,2018-11-26,2018-12-02,29989,29989,0,326,64,0,1013,1403,10,2,107,119,1522,28467,No Report
United States of America,Region of the Americas of WHO,North America,2018,49,2018-12-03,2018-12-09,30761,30761,0,361,90,0,1674,2125,7,3,159,169,2294,28467,No Report
United States of America,Region of the Americas of WHO,North America,2018,50,2018-12-10,2018-12-16,35316,35316,0,674,166,0,3262,4102,6,7,197,210,4312,31004,No Report
United States of America,Region of the Americas of WHO,North America,2018,51,2018-12-17,2018-12-23,41051,41051,0,1115,248,0,5367,6730,8,20,201,229,6959,34092,No Report
United States of America,Region of the Americas of WHO,North America,2018,52,2018-12-24,2018-12-30,45896,45896,0,1243,274,0,6962,8479,9,19,248,276,8755,37141,No Report
