,Week,Tweets per week
0,40,160
1,41,175
2,42,340
3,43,293
4,44,333
5,45,388
6,46,341
7,47,395
8,48,486
9,49,437
10,50,528
11,51,470
12,0,518
13,1,441
14,2,380
15,3,445
16,4,540
17,5,535
18,6,463
19,7,508
20,8,402
21,9,588
22,10,495
23,11,364
24,12,401
25,13,370
26,14,384
27,15,339
28,16,314
29,17,321
30,18,398
31,19,398
32,20,244
33,21,309
34,22,416
35,23,353
36,24,242
37,25,173
38,26,238
39,27,227
40,28,219
41,29,180
42,30,264
43,31,257
44,32,244
45,33,238
46,34,264
47,35,291
48,36,261
49,37,302
50,38,235
51,39,253
52,40,205
53,41,202
54,42,356
55,43,347
56,44,362
57,45,392
58,46,396
59,47,387
60,48,488
61,49,511
62,50,606
63,51,559
64,0,573
65,1,561
66,2,556
67,3,568
68,4,532
69,5,645
70,6,566
71,7,517
72,8,456
73,9,596
74,10,507
75,11,387
76,12,450
77,13,402
78,14,399
79,15,378
80,16,333
81,17,280
82,18,398
83,19,440
84,20,287
85,21,354
86,22,441
87,23,403
88,24,396
89,25,240
90,26,255
91,27,290
92,28,259
93,29,312
94,30,336
95,31,280
96,32,269
97,33,270
98,34,286
99,35,324
100,36,421
101,37,460
102,38,437
103,39,399
104,40,354
105,41,335
106,42,493
107,43,490
108,44,506
109,45,571
110,46,532
111,47,626
112,48,574
113,49,712
114,50,756
115,51,691
116,0,745
117,1,694
118,2,648
119,3,643
120,4,604
121,5,884
122,6,671
123,7,629
124,8,584
125,9,803
126,10,626
127,11,524
128,12,579
129,13,516
130,14,552
131,15,493
132,16,438
133,17,411
134,18,563
135,19,574
136,20,580
137,21,534
138,22,409
139,23,480
140,24,531
141,25,370
142,26,379
143,27,429
144,28,391
145,29,437
146,30,456
147,31,401
148,32,380
149,33,395
150,34,280
151,35,427
152,36,403
153,37,439
154,38,371
155,39,492
156,40,441
157,41,440
158,42,579
159,43,635
160,44,616
161,45,667
162,46,626
163,47,708
164,48,705
165,49,754
166,50,758
167,51,744
168,0,891
169,1,820
170,2,850
171,3,767
172,4,704
173,5,932
174,6,702
175,7,732
176,8,674
177,9,906
178,10,674
179,11,611
180,12,648
181,13,620
182,14,491
183,15,483
184,16,402
185,17,412
186,18,563
187,19,594
188,20,594
189,21,520
190,22,407
191,23,489
192,24,517
193,25,369
194,26,379
195,27,413
196,28,448
197,29,492
198,30,513
199,31,401
200,32,361
201,33,380
202,34,404
203,35,442
204,36,406
205,37,433
206,38,429
207,39,399
208,40,403
209,41,431
210,42,415
211,43,379
212,44,381
213,45,431
214,46,436
215,47,488
216,48,504
217,49,543
218,50,531
219,51,535
220,0,443
221,1,681
222,2,1311
223,3,707
224,4,570
225,5,831
226,6,625
227,7,607
228,8,510
229,9,616
230,10,657
231,11,557
232,12,534
233,13,502
234,14,448
235,15,431
236,16,448
237,17,320
238,18,429
239,19,277
240,20,349
241,21,381
242,22,344
243,23,319
244,24,322
245,25,358
246,26,319
247,27,250
248,28,275
249,29,306
250,30,270
251,31,317
252,32,228
253,33,307
254,34,279
